ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
54,"The southern demand that slavery be allowed to expand into the territories seems to have been motivated by the?:","expectation that slavery would be even more profitable in the West than in the South.","fear that free territories could be used as bases for spreading abolitionism into the South.","belief that expansion was necessary to allow the profitable sale of surplus southern slaves.","assumption of southern politicians that they should put forward extreme positions as a tactic in political bargaining with the North.","relied upon governmental action to end slavery.","fear that free territories could be used as bases for spreading abolitionism into the South."
55,"William Lloyd Garrison pledged his dedication to?:","shipping freed blacks back to Africa.","outlawing the slave trade.","preventing the expansion of slavery beyond the South.","the immediate abolition of slavery in the South.","relied upon governmental action to end slavery.","the immediate abolition of slavery in the South."
56,"Before the Civil War, the abolitionists used all of the following tactics EXCEPT?:","using moral persuasion on slaveholders.","providing assistance to escaped slaves.","lobbying state legislatures for  personal liberty  laws.","asking Congress for laws outlawing slavery in the states.","relied upon governmental action to end slavery.","asking Congress for laws outlawing slavery in the states."
57,"During the late 1850s, the free laborites of the North came to believe in all of the following ideas EXCEPT?:","the perfect society was one of small-scale capitalism that allowed everyone a chance at upward mobility.","slavery was such a moral evil that it must be abolished quickly.","southern society was so backward that it constituted a threat to democracy and individualism.","the South was engaged in a conspiracy to extend slavery throughout the nation.","relied upon governmental action to end slavery.","slavery was such a moral evil that it must be abolished quickly."
58,"The most divisive and controversial aspect of the slavery issue during the first half of the 19c was?:","the status of slavery in the territories.","the right of abolitionists to send their literature throughout the U. S. mail.","the enforcement of the draconian Fugitive Slave Law.","the status of slavery in the District of Columbia.","the prohibition of international slave trade.","the status of slavery in the territories."
59,"Approximately how many slaves would half of all slaveowning families have owned?:","fewer than 5.","25 to 50.","50 to 100.","100 or more.","the prohibition of international slave trade.","fewer than 5."
60,"What was the significance of Harriet Beecher Stowe's  Uncle Tom's Cabin ?:","it contradicted prevailing stereotypes that described dark-skinned blacks as docile and submissive and light-skinned blacks as aggressive and","by presenting a dynamic slave society, the book challenged the common notion that slavery tore apart the black family.","it provoked a more aggressive antisouthern and antislavery position in those who were uncertain on the slavery issue.","all of these choices are correct.","the prohibition of international slave trade.","it provoked a more aggressive antisouthern and antislavery position in those who were uncertain on the slavery issue."
61,"The upper class plantation mistress?:","accepted a sexual code that kept white women pure, but tolerated sexual relations between white men and slave women.","lived lives of leisure centered around artistic and literary pursuits.","enjoyed the unique luxury of criticizing their own role in society as well as the slave system in general.","faced an unexpected variety of burdensome managerial and service duties.","the prohibition of international slave trade.","faced an unexpected variety of burdensome managerial and service duties."
62,"The split in the American Anti-Slavery Society in 1840 was over the issue of?:","the colonization of freed blacks in Africa.","the right of blacks to speak in racially mixed gatherings.","the right of women to participate in the antislavery society.","the role of blacks and women in the antislavery movement.","the prohibition of international slave trade.","the right of women to participate in the antislavery society."
63,"What impact did slavery have on the southern value system?:","the acceptance of slave labor had the effect of devaluing free labor in the South.","slavery created a strong sense of community responsibility among the white majority.","the presence of slave labor created an egalitarian value system among the white majority.","slavery created constant tension between slaveowners and non-slaveowners.","the prohibition of international slave trade.","the acceptance of slave labor had the effect of devaluing free labor in the South."
64,"Harriet Tubman gained fame?:","in the gold fields of California.","as an African-American poet.","as an advocate of the Fugitive Slave Law.","by helping slaves to escape to Canada.","the prohibition of international slave trade.","by helping slaves to escape to Canada."
65,"Between 1830 and 1860, many southerners came to defend slavery because of all of the following reasons EXCEPT?:","the growth of the cotton economy made slavery very profitable again.","they saw how the North silenced those with pro-slavery opinions while they remained tolerant of opposition.","they believed slaves were better off than the poor  unfortunate people who worked in northern factories.","the attacks of the abolitionists pushed them into defending the southern way of life.","the prohibition of international slave trade.","they saw how the North silenced those with pro-slavery opinions while they remained tolerant of opposition."
65,"Between 1830 and 1860, many southerners came to defend slavery because of all of the following reasons EXCEPT?:","the growth of the cotton economy made slavery very profitable again.","they saw how the North silenced those with pro-slavery opinions while they remained tolerant of opposition.","they believed slaves were better off than the poor  unfortunate people who worked in northern factories.","the attacks of the abolitionists pushed them into defending the southern way of life.","the prohibition of international slave trade.","they saw how the North silenced those with pro-slavery opinions while they remained tolerant of opposition."
65,"Between 1830 and 1860, many southerners came to defend slavery because of all of the following reasons EXCEPT?:","the growth of the cotton economy made slavery very profitable again.","they saw how the North silenced those with pro-slavery opinions while they remained tolerant of opposition.","they believed slaves were better off than the poor  unfortunate people who worked in northern factories.","the attacks of the abolitionists pushed them into defending the southern way of life.","the prohibition of international slave trade.","they saw how the North silenced those with pro-slavery opinions while they remained tolerant of opposition."
68,"King Philip's War of 1675-1676 was fought to?:","remove Spanish Catholics from Florida.","end Spanish control over the African slave trade.","establish New England trade with the West Indies.","stop the French from settling the Ohio River Valley.","establish English control over the Indians in New England.","establish English control over the Indians in New England."
69,"Great Britain sought to control colonial trade because?:","it did not want competition with its own manufacturers.","colonial products were inferior to British products.","the colonies were seeking political independence.","colonial products were too expensive.","the colonies were unable to establish trade with France and Spain.","it did not want competition with its own manufacturers."
70,"Which of the following is properly considered the main purpose of the Navigation Acts?:","the promotion of trade among the colonies.","the protection of American manufacturing from foreign competition.","to guarantee that England alone would profit from trade with the colonies.","to raise revenue for maintaining the British Empire.","the regulation of the slave trade in the colonies.","to guarantee that England alone would profit from trade with the colonies."
71,"The considerable powers that colonial governors possessed included all of the following EXCEPT?:","the right to veto acts.","the power to call or dismiss assembly sessions at will.","control over taxes and the budget.","the authority to schedule elections at any time.","the regulation of the slave trade in the colonies.","control over taxes and the budget."
72,"The trial of John Peter Zenger in 1735 for seditious libel?:","established the government's right to censor the press.","resulted in a  hung jury  and a dismissal of the charges.","determined that government censorship of the press was unconstitutional.","encouraged editors to be more critical of public officials.","found Zenger guilty.","encouraged editors to be more critical of public officials."
73,"Which of the following nations was forced out of its colonial holdings in North America in the 17c?:","the Netherlands.","Spain.","England.","France.","Portugal.","the Netherlands."
74,"Prior to 1763, the British policy of  salutary neglect ?:","allowed royal colonies to elect their own governors.","did not enforce the Navigation Acts.","took the Royal Navy off the high seas.","encouraged colonists to establish their own parliament.","withdrew British soldiers from North America.","did not enforce the Navigation Acts."
75,"Which of the following best describes the power generally exercised by British colonial governors in the American","they exercised more power than they were legally permitted because of royal support.","they exercised more power than they were legally permitted through the use of patronage.","they exercised less power than they were permitted because they were chosen by the colonial legislatures.","they exercised less power than they were permitted because they were popularly elected.","they exercised less power than they were permitted because of legislative control of taxing and spending.","they exercised less power than they were permitted because of legislative control of taxing and spending."
76,"The right to vote for members of the colonial assemblies was?:","greatly restricted because of high property qualifications.","open to women in most of the colonies.","extended to a greater proportion of the population than anywhere else in the world of the 18c.","restricted to Protestants.","none of these choices are correct.","extended to a greater proportion of the population than anywhere else in the world of the 18c."
77,"Bacon's Rebellion was supported mainly by?:","young men frustrated by their inability to acquire land.","the planter class of Virginia.","those protesting the increased importation of African slaves.","people from Jamestown only.","none of these choices are correct.","young men frustrated by their inability to acquire land."
78,"During the presidency of George Bush, the United States worked closely with the United Nations in all of the following","attempts to minimize civilian suffering in Bosnia.","ouster of Iraqi troops from Kuwait.","aid to Somalia.","attempts to limit the spread of nuclear weapons.","ouster of Manuel Noriega from Panama.","ouster of Manuel Noriega from Panama."
79,"In which of the following ways was Operation Desert Storm different from the Vietnam War?:","President Bush built a consensus for action.","President Bush articulated a clear military objective.","President Bush provided the military support necessary to achieve the goal.","all of these choices are correct.","ouster of Manuel Noriega from Panama.","all of these choices are correct."
80,"The Bush administration succeeded in easing tensions in all of the following areas EXCEPT?:","Kuwait.","Bosnia.","Panama.","Somalia.","Middle East.","Bosnia."
81,"The U. S. Senate faced a major controversy during the Bush administration when the president?:","refused to nominate to the Supreme Court Jesse Jackson, who had the overwhelming support of African Americans.","requested that the Court reaffirm the  Roe v. Wade  decision of the Burger Court.","refused to accept Justice Thurgood Marshall's retirement because it was important to have an African American on the Supreme Court.","nominated Clarence Thomas, a conservative African American judge, as an associate justice.","nominated General Colin Powell to the Court to remove him as a presidential rival in the 1992 race.","nominated Clarence Thomas, a conservative African American judge, as an associate justice."
82,"Which of the following best describes the Bush administration's approach to the problem of the growing federal budget","massive spending cuts proposed by Bush were adopted by Congress, and the deficit declined for the first time since the 1970s.","despite Bush's  no new taxes  pledge, he worked out a multiyear budget package with Congress that included a significant tax increase.","Congress passed a deficit-reduction plan composed of small spending cuts and large tax increases, but Bush vetoed it.","Bush proposed a major tax increase, but conservative Republicans teamed with liberal Democrats to defeat it.","nominated General Colin Powell to the Court to remove him as a presidential rival in the 1992 race.","despite Bush's  no new taxes  pledge, he worked out a multiyear budget package with Congress that included a significant tax increase."
83,"In response to the Tiananmen Square massacre, the Bush administration?:","severed diplomatic relations with the People's Republic of China.","introduced and gained passage of a United Nations resolution placing severe economic sanctions on the People's Republic of China.","expressed revulsion but took no steps to punish the Chinese government.","immediately denied China most-favored nation status in its trade with the United States.","nominated General Colin Powell to the Court to remove him as a presidential rival in the 1992 race.","expressed revulsion but took no steps to punish the Chinese government."
84,"Which of the following best expresses George Bush's philosophy about the role of government in solving social and","the adoption of Keynesian economic policy is the best way to solve the social and economic problems stemming from a recession.","the government should play only a minimal role in solving the nation's social and economic problems.","the government must act aggressively and decisively to reduce the deficit, for by so doing, the nation's economic and social problems may then be solved.","the government must establish job-training programs for the unemployed and fund a comprehensive research and development program to help American industry stay","nominated General Colin Powell to the Court to remove him as a presidential rival in the 1992 race.","the government should play only a minimal role in solving the nation's social and economic problems."
85,"President Bush signed all of the following pieces of legislation EXCEPT?:","the Equal Rights Amendment.","the Clean Air Act of 1990.","the Americans with Disabilities Act of 1991.","the act authorizing the federal government to bail out the savings and loan industry.","nominated General Colin Powell to the Court to remove him as a presidential rival in the 1992 race.","the Equal Rights Amendment."
86,"All of the following occurred after the fall of the Berlin Wall in 1989 EXCEPT?:","the beginning of  perestroika  and  glasnost .","the breakup of the Soviet Union into separate nations.","the outbreak of warfare in Yugoslavia.","the emergence of President Yeltsin as the leader of Russia.","the support of the Russian economy by the International Monetary Fund.","the beginning of  perestroika  and  glasnost ."
87,"One of George Bush's last decisions as president was to?:","withdraw American troops from Somalia.","send American troops to Bosnia.","pardon several figures connected to the Iran-Contra scandal.","call for an investigation of the House banking scandal.","the support of the Russian economy by the International Monetary Fund.","pardon several figures connected to the Iran-Contra scandal."
88,"An important factor in the rapid development of industry in the United States during the last half of the 19c was?:","increasing competition in the oil business.","the availability of capital for investment purposes.","a stable economic cycle.","effective regulation of monopolistic business practices by the national government.","the support of the Russian economy by the International Monetary Fund.","the availability of capital for investment purposes."
89,"In its approach to union organization, the Knights of Labor officially?:","welcomed both skilled and unskilled workers.","stressed the organization of workers by craft.","encouraged the use of the strike.","discriminated against Blacks and women.","the support of the Russian economy by the International Monetary Fund.","welcomed both skilled and unskilled workers."
90,"A long-range influence of Samuel Gompers on the American labor movement was his advocacy of?:","unrestricted immigration.","industrial unionism.","compulsory arbitration of industrial disputes.","non-involvement in party politics.","government regulation of hours and wages.","non-involvement in party politics."
91,"The concept of  limited liability  contributed to the development of corporations and was appealing to many","they risked only their own investment and were not responsible for the debts of the corporation.","they did not have to be personally involved in the corporation to purchase stock in it.","entrepreneurs could now amass great sums of money for investment purposes.","all of these choices are correct.","government regulation of hours and wages.","all of these choices are correct."
92,"The  Gospel of Wealth,  as advanced by Andrew Carnegie, promoted the concept that people with wealth should?:","give aid directly to the poor.","devout time to the public welfare.","donate the bulk of their wealth to religious institutions.","use their resources to help society.","government regulation of hours and wages.","use their resources to help society."
93,"One of the most significant aspects of the Interstate Commerce Act was that it?:","revolutionized the business system.","represented the first large-scale attempt by the federal government to regulate business.","actually did nothing to control the abuses of big business.","failed to prohibit some of the worst abuses of big business, such as pools and rebates.","government regulation of hours and wages.","represented the first large-scale attempt by the federal government to regulate business."
94,"J. P. Morgan monitored his competition by placing officers of his bank on the board of companies that he wanted to","interlocking directorate.","trust.","pool.","vertical integration.","horizontal integration.","interlocking directorate."
95,"The first  big business  in America, at least in terms of finance, labor relations, and management, was?:","the oil refining industry.","the telephone industry.","the movie industry.","the steel industry.","the railroad industry.","the railroad industry."
96,"The Supreme Court in the  United States v. Knight Company ?:","diminished the effectiveness of the Sherman Anti-Trust Act by ruling that manufacturing was not interstate commerce.","declared the Granger laws unconstitutional because states could not regulate interstate commerce.","ruled that all trusts and monopolies in interstate commerce were illegal and could be broken up by the federal government.","held that employers could force employees to sign and abide by  yellow dog contracts.","the railroad industry.","diminished the effectiveness of the Sherman Anti-Trust Act by ruling that manufacturing was not interstate commerce."
