ID, question, Option 1, Option 2, Option 3, Option 4, Answer
30,"Harlow's finding that baby monkeys prefer a terrycloth surrogate mother to a wire mother demonstrates the importance of","imprinting or critical periods.","contact comfort.","acceptance.","good nutrition.","contact comfort."
32,"Which reflex probably helps prevent falling?","Moro reflex","grasping reflex","rooting reflex","sucking reflex","grasping reflex"
32,"Which reflex probably helps prevent falling?","Moro reflex","grasping reflex","rooting reflex","sucking reflex","grasping reflex"
34,"A child is largely nonverbal, is learning to coordinate purposeful movements with sense information, and is developing the concept of object permanence. The child is in Piaget's __________ stage.","sensorimotor","preoperational","concrete operational","formal operations","sensorimotor"
34,"A child is largely nonverbal, is learning to coordinate purposeful movements with sense information, and is developing the concept of object permanence. The child is in Piaget's __________ stage.","sensorimotor","preoperational","concrete operational","formal operations","sensorimotor"
36,"Newborn children","have limited sense abilities at birth and cannot feel pain at all.","can follow a moving object with their eyes.","cannot learn and must depend on the adaptive reflexes in order to survive.","have extremely poor hearing.","can follow a moving object with their eyes."
36,"Newborn children","have limited sense abilities at birth and cannot feel pain at all.","can follow a moving object with their eyes.","cannot learn and must depend on the adaptive reflexes in order to survive.","have extremely poor hearing.","can follow a moving object with their eyes."
38,"When we say a child's thinking is less abstract than an adult's, we mean that","children use more examples and generalizations.","children use more principles, but require fewer generalizations.","children use fewer generalizations, categories, and principles.","adults base their understanding of the world more on particular examples and tangible sensations.","children use fewer generalizations, categories, and principles."
38,"When we say a child's thinking is less abstract than an adult's, we mean that","children use more examples and generalizations.","children use more principles, but require fewer generalizations.","children use fewer generalizations, categories, and principles.","adults base their understanding of the world more on particular examples and tangible sensations.","children use fewer generalizations, categories, and principles."
40,"If touched on the cheek, neonates will turn their head in that direction. This is called the","Moro reflex.","rooting reflex.","orientation response.","Babinski response.","rooting reflex."
40,"If touched on the cheek, neonates will turn their head in that direction. This is called the","Moro reflex.","rooting reflex.","orientation response.","Babinski response.","rooting reflex."
42,"Physical growth and development is called","readiness.","maturation.","mobility.","heredity.","maturation."
42,"Physical growth and development is called","readiness.","maturation.","mobility.","heredity.","maturation."
44,"Object permanence is to sensorimotor stage as conservation and reversibility are to","formal operational stage.","preoperational stage.","informal operational stage.","concrete operational stage.","concrete operational stage."
44,"Object permanence is to sensorimotor stage as conservation and reversibility are to","formal operational stage.","preoperational stage.","informal operational stage.","concrete operational stage.","concrete operational stage."
46,"The rapid and early learning of permanent behavior patterns during critical periods of development in birds and other animals is called","separation anxiety.","learned referencing.","imprinting.","social referencing.","imprinting."
46,"The rapid and early learning of permanent behavior patterns during critical periods of development in birds and other animals is called","separation anxiety.","learned referencing.","imprinting.","social referencing.","imprinting."
48,"Substances capable of causing birth defects are known as","carcinogens.","teratogens.","chorionic villi.","antigens.","teratogens."
48,"Substances capable of causing birth defects are known as","carcinogens.","teratogens.","chorionic villi.","antigens.","teratogens."
50,"A child and her father are walking. The child knows there are such things as birds but has never seen a bluebird before. Upon seeing one, she says, &quot;See the birdie,&quot; and her father replies, &quot;Yes, that's a bluebird.&quot; This example demonstrates","assimilation.","accommodation.","conservation.","object permanence.","assimilation."
50,"A child and her father are walking. The child knows there are such things as birds but has never seen a bluebird before. Upon seeing one, she says, &quot;See the birdie,&quot; and her father replies, &quot;Yes, that's a bluebird.&quot; This example demonstrates","assimilation.","accommodation.","conservation.","object permanence.","assimilation."
52,"Piaget is mainly known for studying","language development.","sexual development.","social development.","cognitive development.","cognitive development."
52,"Piaget is mainly known for studying","language development.","sexual development.","social development.","cognitive development.","cognitive development."
54,"Which combination could not produce a blue-eyed child?","brown-eyed father, blue-eyed mother","blue-eyed father, brown-eyed mother","both parents have green eyes","Each of the above could produce a blue-eyed child.","Each of the above could produce a blue-eyed child."
54,"Which combination could not produce a blue-eyed child?","brown-eyed father, blue-eyed mother","blue-eyed father, brown-eyed mother","both parents have green eyes","Each of the above could produce a blue-eyed child.","Each of the above could produce a blue-eyed child."
56,"When her mother leaves, Linda cries. When her mother returns, Linda crawls into her lap. According to Mary Ainsworth, Linda has a(n) __________ attachment.","securely attached","secure-avoidant","insecure-avoidant","insecure-ambivalent","securely attached"
56,"When her mother leaves, Linda cries. When her mother returns, Linda crawls into her lap. According to Mary Ainsworth, Linda has a(n) __________ attachment.","securely attached","secure-avoidant","insecure-avoidant","insecure-ambivalent","securely attached"
58,"A child who thinks it gets dark so that she can sleep is demonstrating","object permanence.","imprinting.","deprivation dwarfism.","egocentrism.","egocentrism."
58,"A child who thinks it gets dark so that she can sleep is demonstrating","object permanence.","imprinting.","deprivation dwarfism.","egocentrism.","egocentrism."
60,"Authoritarian parents","demand strict adherence to rigid standards of behavior.","require little in the way of responsible behavior from their children.","encourage their children to act responsibly.","do not enforce rules.","demand strict adherence to rigid standards of behavior."
60,"Authoritarian parents","demand strict adherence to rigid standards of behavior.","require little in the way of responsible behavior from their children.","encourage their children to act responsibly.","do not enforce rules.","demand strict adherence to rigid standards of behavior."
62,"Cephalocaudal means","from the center of the body to the extremities.","from the past to the future.","from the head to the toes.","from birth to death.","from the head to the toes."
62,"Cephalocaudal means","from the center of the body to the extremities.","from the past to the future.","from the head to the toes.","from birth to death.","from the head to the toes."
64,"You offer to trade your nickel for a dime held by a child. The child accepts the trade because the nickel is &quot;bigger.&quot; The child is","in the preoperational stage.","in the neonatal stage of the growth sequence.","obviously past the &quot;age of reason.&quot;","displaying egocentric thought.","in the preoperational stage."
64,"You offer to trade your nickel for a dime held by a child. The child accepts the trade because the nickel is &quot;bigger.&quot; The child is","in the preoperational stage.","in the neonatal stage of the growth sequence.","obviously past the &quot;age of reason.&quot;","displaying egocentric thought.","in the preoperational stage."
66,"It is important for a mother to breast feed her baby, as it","ensures proper brain development.","appears to aid in attachment.","is the only way to gain enough nutrition to survive.","is fundamental to the development of a healthy personality.","appears to aid in attachment."
66,"It is important for a mother to breast feed her baby, as it","ensures proper brain development.","appears to aid in attachment.","is the only way to gain enough nutrition to survive.","is fundamental to the development of a healthy personality.","appears to aid in attachment."
68,"Most human characteristics are the result of many genes working in combination. This is referred to as","recessive.","dominant.","chromosomal.","polygenic.","polygenic."
68,"Most human characteristics are the result of many genes working in combination. This is referred to as","recessive.","dominant.","chromosomal.","polygenic.","polygenic."
70,"Each cell possesses 46 __________ that are responsible for all the genetic information passed from parents to children.","genes","chromosomes","zygotes","gametes","chromosomes"
70,"Each cell possesses 46 __________ that are responsible for all the genetic information passed from parents to children.","genes","chromosomes","zygotes","gametes","chromosomes"
72,"A child and her father are walking. The child knows there are such things as birds. Upon seeing a butterfly, she says, &quot;See the birdie,&quot; and her father replies, &quot;No, that's a butterfly; see how small it is.&quot; This example demonstrates","assimilation.","accommodation.","conservation.","object permanence.","accommodation."
72,"A child and her father are walking. The child knows there are such things as birds. Upon seeing a butterfly, she says, &quot;See the birdie,&quot; and her father replies, &quot;No, that's a butterfly; see how small it is.&quot; This example demonstrates","assimilation.","accommodation.","conservation.","object permanence.","accommodation."
74,"If an infant is startled by a loud sound, it makes movements similar to an embrace. This is called a __________ reflex.","grasping","rooting","Babinski","Moro","Moro"
74,"If an infant is startled by a loud sound, it makes movements similar to an embrace. This is called a __________ reflex.","grasping","rooting","Babinski","Moro","Moro"
76,"&quot;I demand that you obey&quot; is to authoritarian as &quot;Do your own thing&quot; is to","authoritative.","permissive.","permissionable.","overprotective.","permissive."
76,"&quot;I demand that you obey&quot; is to authoritarian as &quot;Do your own thing&quot; is to","authoritative.","permissive.","permissionable.","overprotective.","permissive."
78,"Babies will imitate actions they see when mothers show joy or interest because of","situational referencing.","learned referencing.","perceptual referencing.","social referencing.","social referencing."
78,"Babies will imitate actions they see when mothers show joy or interest because of","situational referencing.","learned referencing.","perceptual referencing.","social referencing.","social referencing."
80,"A child has learned to get his or her way with a younger sibling by using physical intimidation. If he or she uses the same tactics on peers, this demonstrates","social learning.","classical conditioning.","assimilation.","accommodation.","assimilation."
80,"A child has learned to get his or her way with a younger sibling by using physical intimidation. If he or she uses the same tactics on peers, this demonstrates","social learning.","classical conditioning.","assimilation.","accommodation.","assimilation."
82,"The repetition by infants of meaningless language sounds (including both vowel and consonant sounds) is called","babbling.","cooing.","telegraphic speech.","crying.","babbling."
82,"The repetition by infants of meaningless language sounds (including both vowel and consonant sounds) is called","babbling.","cooing.","telegraphic speech.","crying.","babbling."
84,"Vygotsky's sociocultural theory suggests that a child's most important discoveries are guided by","other children.","adults acting as tutors.","neither other children nor adults acting as tutors.","both other children and adults acting as tutors.","adults acting as tutors."
84,"Vygotsky's sociocultural theory suggests that a child's most important discoveries are guided by","other children.","adults acting as tutors.","neither other children nor adults acting as tutors.","both other children and adults acting as tutors.","adults acting as tutors."
86,"Which of the following is one of the four basic ingredients of positive parent-child interactions?","discipline","forced teaching and learning","flooding the infant with stimuli","mutual respect","mutual respect"
86,"Which of the following is one of the four basic ingredients of positive parent-child interactions?","discipline","forced teaching and learning","flooding the infant with stimuli","mutual respect","mutual respect"
88,"Proximodistal means","from the center of the body to the extremities.","from the past to the future.","from the head to the toes.","from birth to death.","from the center of the body to the extremities."
88,"Proximodistal means","from the center of the body to the extremities.","from the past to the future.","from the head to the toes.","from birth to death.","from the center of the body to the extremities."
90,"According to __________, all children pass through a series of distinct stages in their intellectual development.","Piaget","Bloom","Watson","Harlow","Piaget"
90,"According to __________, all children pass through a series of distinct stages in their intellectual development.","Piaget","Bloom","Watson","Harlow","Piaget"
92,"You are playing with a neighbor's son, Sam. He is taking a stick and waving it through the air, making airplane noises. You then take the stick and push it along the ground, making car noises. Sam angrily takes back the stick and says, &quot;No, it's a plane!&quot; Sam appears to be in Piaget's","preoperational stage.","concrete operational stage.","period of formal operations.","sensorimotor stage.","preoperational stage."
92,"You are playing with a neighbor's son, Sam. He is taking a stick and waving it through the air, making airplane noises. You then take the stick and push it along the ground, making car noises. Sam angrily takes back the stick and says, &quot;No, it's a plane!&quot; Sam appears to be in Piaget's","preoperational stage.","concrete operational stage.","period of formal operations.","sensorimotor stage.","preoperational stage."
94,"Which of the following is characteristic of good parenting?","&quot;hothousing&quot;","forced teaching","flooding the infant with stimuli","consistency","consistency"
94,"Which of the following is characteristic of good parenting?","&quot;hothousing&quot;","forced teaching","flooding the infant with stimuli","consistency","consistency"
96,"Which pattern of development would surprise you MOST?","A child stands holding furniture before he or she crawls.","A child walks if led before he or she stands alone.","A child sits alone before he or she stands holding furniture.","A child sits when supported before he or she holds his or her chest up.","A child walks if led before he or she stands alone."
96,"Which pattern of development would surprise you MOST?","A child stands holding furniture before he or she crawls.","A child walks if led before he or she stands alone.","A child sits alone before he or she stands holding furniture.","A child sits when supported before he or she holds his or her chest up.","A child walks if led before he or she stands alone."
98,"Babies who don't hear normal speech during their first year may have impaired language abilities because of","the human genome sequence.","the language sensitive period.","the period of motor primacy.","genetic abnormalities.","the language sensitive period."
98,"Babies who don't hear normal speech during their first year may have impaired language abilities because of","the human genome sequence.","the language sensitive period.","the period of motor primacy.","genetic abnormalities.","the language sensitive period."
100,"Environmental factors that shape development include all of the following except","quality of learning.","intelligence.","quality of nutrition.","culture.","intelligence."
100,"Environmental factors that shape development include all of the following except","quality of learning.","intelligence.","quality of nutrition.","culture.","intelligence."
102,"You leave your child with a babysitter. When you return, your child ignores you. Your child's behavior indicates a(n) __________ attachment.","securely attached","secure-avoidant","insecure-avoidant","insecure-ambivalent","insecure-avoidant"
102,"You leave your child with a babysitter. When you return, your child ignores you. Your child's behavior indicates a(n) __________ attachment.","securely attached","secure-avoidant","insecure-avoidant","insecure-ambivalent","insecure-avoidant"
104,"Competent children who are characterized by autonomy, self-control, and curiosity are often a consequence of the parenting style described as","authoritarian.","authoritative.","permissive.","submissive.","authoritative."
104,"Competent children who are characterized by autonomy, self-control, and curiosity are often a consequence of the parenting style described as","authoritarian.","authoritative.","permissive.","submissive.","authoritative."
106,"According to Noam Chomsky, day-old infants dance to speech due to","the primacy effect.","mother-infant attachment.","social learning.","innate factors.","innate factors."
106,"According to Noam Chomsky, day-old infants dance to speech due to","the primacy effect.","mother-infant attachment.","social learning.","innate factors.","innate factors."
108,"A child knows that when you take yellow paint and then mix in blue paint, you get green paint. When you ask her what color paint you get if you take blue paint and then mix in yellow paint, she doesn't know. Her thinking lacks","clarity.","freedom from egocentricity.","conservation.","reversibility.","reversibility."
108,"A child knows that when you take yellow paint and then mix in blue paint, you get green paint. When you ask her what color paint you get if you take blue paint and then mix in yellow paint, she doesn't know. Her thinking lacks","clarity.","freedom from egocentricity.","conservation.","reversibility.","reversibility."
110,"Which of the following reflexes are related to feeding?","The Moro and rooting reflexes.","The rooting and sucking reflexes.","The Moro and sucking reflexes.","The Babinski and orienting reflexes.","The rooting and sucking reflexes."
110,"Which of the following reflexes are related to feeding?","The Moro and rooting reflexes.","The rooting and sucking reflexes.","The Moro and sucking reflexes.","The Babinski and orienting reflexes.","The rooting and sucking reflexes."
112,"A two-year-old says, &quot;Water go,&quot; to which the parent responds, &quot;Yes, the water goes down the drain.&quot; The parent is using the strategy of","extension.","expansion.","prompting.","parentese.","expansion."
112,"A two-year-old says, &quot;Water go,&quot; to which the parent responds, &quot;Yes, the water goes down the drain.&quot; The parent is using the strategy of","extension.","expansion.","prompting.","parentese.","expansion."
114,"Developmental psychology is the study of","the language, personality, and emotions of children and adolescents.","the stages of life and the important tasks of each.","progressive changes in behavior and abilities from conception to death.","the role of maturation in the unfolding of human potential.","progressive changes in behavior and abilities from conception to death."
114,"Developmental psychology is the study of","the language, personality, and emotions of children and adolescents.","the stages of life and the important tasks of each.","progressive changes in behavior and abilities from conception to death.","the role of maturation in the unfolding of human potential.","progressive changes in behavior and abilities from conception to death."
116,"Studies of visual perception indicate that","newborn babies prefer simple patterns over complex ones.","babies make little use of the visual sense before age 6 months.","infants prefer faces to colored ovals.","infants prefer unfamiliar faces to familiar faces.","infants prefer faces to colored ovals."
116,"Studies of visual perception indicate that","newborn babies prefer simple patterns over complex ones.","babies make little use of the visual sense before age 6 months.","infants prefer faces to colored ovals.","infants prefer unfamiliar faces to familiar faces.","infants prefer faces to colored ovals."
118,"Sperm from an anonymous donor are used to impregnate the woman in a technique called","in vitro fertilization.","artificial insemination.","eugenics.","anonymous insemination.","artificial insemination."
118,"Sperm from an anonymous donor are used to impregnate the woman in a technique called","in vitro fertilization.","artificial insemination.","eugenics.","anonymous insemination.","artificial insemination."
120,"The study of changes in behavior from conception to death encompasses","gerontology.","thanatology.","developmental psychology.","social psychology.","developmental psychology."
120,"The study of changes in behavior from conception to death encompasses","gerontology.","thanatology.","developmental psychology.","social psychology.","developmental psychology."
122,"The part of a chromosome that contains &quot;instructions&quot; that affect a particular process or personal characteristic is called a(n)","RNA.","gene.","soma.","protein.","gene."
122,"The part of a chromosome that contains &quot;instructions&quot; that affect a particular process or personal characteristic is called a(n)","RNA.","gene.","soma.","protein.","gene."
124,"When a gene is __________, it must be paired with a second gene of the same type before its effect will be expressed.","recessive","dominant","polygenic","sex-linked","recessive"
124,"When a gene is __________, it must be paired with a second gene of the same type before its effect will be expressed.","recessive","dominant","polygenic","sex-linked","recessive"
126,"Using existing patterns of behavior in new situations is called","assimilation.","adaptation.","accommodation.","conservation.","assimilation."
126,"Using existing patterns of behavior in new situations is called","assimilation.","adaptation.","accommodation.","conservation.","assimilation."
128,"Another name for a newborn baby is a(n)","embryo.","neonate.","zygote.","fetus.","neonate."
128,"Another name for a newborn baby is a(n)","embryo.","neonate.","zygote.","fetus.","neonate."
130,"Telegraphic speech refers to","the single-word stage of language learning.","the continuous outpouring of repeated language sounds.","words that communicate only part of an idea.","simple two-word sentences characteristic of early speech.","simple two-word sentences characteristic of early speech."
130,"Telegraphic speech refers to","the single-word stage of language learning.","the continuous outpouring of repeated language sounds.","words that communicate only part of an idea.","simple two-word sentences characteristic of early speech.","simple two-word sentences characteristic of early speech."
132,"Fetal alcohol syndrome is characterized by","miscarriage, premature birth, and bodily defects.","increased birth weight.","genetic defects.","addiction to alcohol in the newborn.","miscarriage, premature birth, and bodily defects."
132,"Fetal alcohol syndrome is characterized by","miscarriage, premature birth, and bodily defects.","increased birth weight.","genetic defects.","addiction to alcohol in the newborn.","miscarriage, premature birth, and bodily defects."
134,"You are daydreaming in the middle of a lecture. Are you actually thinking?","Yes.","No.","No, but daydreaming is an example of cognition.","Yes, you are thinking and daydreaming is an example of cognition.","Yes, you are thinking and daydreaming is an example of cognition."
134,"You are daydreaming in the middle of a lecture. Are you actually thinking?","Yes.","No.","No, but daydreaming is an example of cognition.","Yes, you are thinking and daydreaming is an example of cognition.","Yes, you are thinking and daydreaming is an example of cognition."
136,"Computer programs capable of doing things that require intelligence when done by people are associated with","artificial intelligence.","proxemics.","cerebronics.","computerized creativity.","artificial intelligence."
136,"Computer programs capable of doing things that require intelligence when done by people are associated with","artificial intelligence.","proxemics.","cerebronics.","computerized creativity.","artificial intelligence."
138,"__________ is the study of the meaning of words and language.","Linguistics","Encoding","Semantics","Syntax","Semantics"
138,"__________ is the study of the meaning of words and language.","Linguistics","Encoding","Semantics","Syntax","Semantics"
140,"Representations used in thinking include","mnemonic devices.","kinesthesis.","concepts.","primarily figments of the imagination.","concepts."
140,"Representations used in thinking include","mnemonic devices.","kinesthesis.","concepts.","primarily figments of the imagination.","concepts."
142,"Basic speech sounds are called","morphemes.","syllables.","phonemes.","syntax.","phonemes."
142,"Basic speech sounds are called","morphemes.","syllables.","phonemes.","syntax.","phonemes."
144,"A solution that correctly states the requirements for success in solving a problem but not in sufficient detail for further action is called a(n) __________ solution.","heuristic","general","functional","specific","general"
144,"A solution that correctly states the requirements for success in solving a problem but not in sufficient detail for further action is called a(n) __________ solution.","heuristic","general","functional","specific","general"
146,"Fluency, flexibility, and originality would be most characteristic of which type of thought?","convergent thinking","mechanical problem-solving","rote problem-solving","brainstorming","brainstorming"
146,"Fluency, flexibility, and originality would be most characteristic of which type of thought?","convergent thinking","mechanical problem-solving","rote problem-solving","brainstorming","brainstorming"
148,"What type of concept is &quot;uncle&quot;?","conjunctive","relational","relative","disjunctive","relational"
148,"What type of concept is &quot;uncle&quot;?","conjunctive","relational","relative","disjunctive","relational"
150,"The inability to see new uses for familiar objects is termed","non-flexible thinking.","functional fixedness.","proactive inhibition.","interference.","functional fixedness."
150,"The inability to see new uses for familiar objects is termed","non-flexible thinking.","functional fixedness.","proactive inhibition.","interference.","functional fixedness."
152,"A person who is concerned about health, but who continues to smoke cigarettes, is making an error in judgment called","functional fixedness.","ignoring the base rate.","representativeness.","framing.","ignoring the base rate."
152,"A person who is concerned about health, but who continues to smoke cigarettes, is making an error in judgment called","functional fixedness.","ignoring the base rate.","representativeness.","framing.","ignoring the base rate."
154,"Language is termed productive if it","allows for communication of thoughts and ideas.","is capable of generating new ideas and possibilities.","increases one's adaptation to a changing environment.","provides a set of rules for making sounds into words and words into sentences.","is capable of generating new ideas and possibilities."
154,"Language is termed productive if it","allows for communication of thoughts and ideas.","is capable of generating new ideas and possibilities.","increases one's adaptation to a changing environment.","provides a set of rules for making sounds into words and words into sentences.","is capable of generating new ideas and possibilities."
156,"Which of the following is usually associated with creativity?","convergent thinking","divergent thinking","modeling","syntax","divergent thinking"
156,"Which of the following is usually associated with creativity?","convergent thinking","divergent thinking","modeling","syntax","divergent thinking"
158,"A truck gets stuck under a bridge. Several tow-trucks are unable to pull it out. At last a little boy walks up and asks the red-faced adults trying to free the truck why they haven't let the air out of the truck's tires. Their oversight was due to","divergent thinking.","cognitive style.","synesthesia.","fixation.","fixation."
158,"A truck gets stuck under a bridge. Several tow-trucks are unable to pull it out. At last a little boy walks up and asks the red-faced adults trying to free the truck why they haven't let the air out of the truck's tires. Their oversight was due to","divergent thinking.","cognitive style.","synesthesia.","fixation.","fixation."
160,"Heuristics are problem solving strategies which","use a trial and error approach.","use random search strategies.","guarantee success in solving a problem.","reduce the number of alternatives.","reduce the number of alternatives."
160,"Heuristics are problem solving strategies which","use a trial and error approach.","use random search strategies.","guarantee success in solving a problem.","reduce the number of alternatives.","reduce the number of alternatives."
162,"Characterisitics of creativity include","convergence.","flexibility.","gender differences.","rigid personality factors.","flexibility."
162,"Characterisitics of creativity include","convergence.","flexibility.","gender differences.","rigid personality factors.","flexibility."
164,"A perceptual set that causes one to become hung up on wrong solutions or remain blind to alternatives is called","inhibition.","fixation.","conditional thinking.","incubation.","fixation."
164,"A perceptual set that causes one to become hung up on wrong solutions or remain blind to alternatives is called","inhibition.","fixation.","conditional thinking.","incubation.","fixation."
166,"If 98 out of 100 people respond &quot;Golden Retriever&quot; when asked to name what dog best represents the concept &quot;dog,&quot; then a golden retriever would be called a","denotative concept.","prototype.","relational concept.","feature.","prototype."
166,"If 98 out of 100 people respond &quot;Golden Retriever&quot; when asked to name what dog best represents the concept &quot;dog,&quot; then a golden retriever would be called a","denotative concept.","prototype.","relational concept.","feature.","prototype."
168,"The rules for ordering words in sentences are called","grammar.","syntax.","semantic differential.","heuristics.","syntax."
168,"The rules for ordering words in sentences are called","grammar.","syntax.","semantic differential.","heuristics.","syntax."
170,"The solution to arithmetic problems requires","mechanical solutions.","convergent thinking.","insight.","brainstorming.","convergent thinking."
170,"The solution to arithmetic problems requires","mechanical solutions.","convergent thinking.","insight.","brainstorming.","convergent thinking."
172,"A person would have the LEAST difficulty in classifying __________ as a tree or shrub.","a cactus","a fern","an oak","a palm","an oak"
172,"A person would have the LEAST difficulty in classifying __________ as a tree or shrub.","a cactus","a fern","an oak","a palm","an oak"
174,"A student who takes a multiple-choice test by reading the stem of each item, generating the correct response before looking at the choices, and then choosing the response closest to the answer is using","a heuristic.","an &quot;ideal&quot; solution.","vicarious problem solving.","an algorithmic search strategy.","a heuristic."
174,"A student who takes a multiple-choice test by reading the stem of each item, generating the correct response before looking at the choices, and then choosing the response closest to the answer is using","a heuristic.","an &quot;ideal&quot; solution.","vicarious problem solving.","an algorithmic search strategy.","a heuristic."
176,"In baseball, an &quot;out&quot; is a","conjunctive concept.","relational concept.","disjunctive concept.","prototype.","disjunctive concept."
176,"In baseball, an &quot;out&quot; is a","conjunctive concept.","relational concept.","disjunctive concept.","prototype.","disjunctive concept."
178,"The stage of creative thought during which problem solving proceeds at a subconscious level is the __________ stage.","incubation","orientation","preparation","illumination","incubation"
178,"The stage of creative thought during which problem solving proceeds at a subconscious level is the __________ stage.","incubation","orientation","preparation","illumination","incubation"
180,"A person is asked to decide on a major in school; another is asked to decide on a career. We may say that the different answers they give to broad and specific questions are because of","differences in representativeness.","base rate differences.","differences in framing.","differences associated with irrational personalities.","differences in framing."
180,"A person is asked to decide on a major in school; another is asked to decide on a career. We may say that the different answers they give to broad and specific questions are because of","differences in representativeness.","base rate differences.","differences in framing.","differences associated with irrational personalities.","differences in framing."
182,"The correlation between IQ and creativity is","very high.","very low.","zero.","more positively correlated the higher the IQ.","very low."
182,"The correlation between IQ and creativity is","very high.","very low.","zero.","more positively correlated the higher the IQ.","very low."
