ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
14,"By the Treaty of Frankfurt, France?:","had to pay a large indemnity to Italy.","was required to abandon the Third Empire.","lost Alsace-Lorraine to Germany.","had to pay the Pope one million Francs in war damages.","received Trieste, Nice, and Savoy.","lost Alsace-Lorraine to Germany."
15,"The Crimean War helped to bring about all of the following EXCEPT the?:","rapid spread of socialism in France.","freeing of the serfs in Russia.","focusing of international attention on the Italian question.","growth of nationalism in Rumania.","reform of the British army.","rapid spread of socialism in France."
16,"The long-term goal of the Paris Commune was the?:","creation of a workers\' republic.","institution of a Marxist state.","destruction of the National Assembly.","creation of Paris as an autonomous commune separate from France.","institution of a new National Assembly for France.","creation of Paris as an autonomous commune separate from France."
17,"The term  realpolitik  applies to Bismarck\'s?:","realistic support of the liberal factions in the Prussian Parliament.","use of subterfuge, deceit, and military force to accomplish unification and to implement other policies.","support of Pan-Germanism.","support of Pan-Germanism.","admiration of Cavour\'s constitutional reforms in Italy.","use of subterfuge, deceit, and military force to accomplish unification and to implement other policies."
18,"After the publication of Theodor Herzl\'s book  The Jewish State ?:","Jews began to immigrate to the United States.","a Zionist Congress proclaimed its aim to create that state in Palestine.","the Ottoman Empire declared that there could be no Jewish immigration.","the Ottoman Empire declared that there could be no Jewish immigration.","a Zionist Congress proclaimed its aim to create that state in Palestine.","a Zionist Congress proclaimed its aim to create that state in Palestine."
19,"The Concert of Europe was shattered as a result of?:","the events of the Crimean War.","German unificaiton.","the Danish War.","the Franco-Prussian War.","Italian unification.","the events of the Crimean War."
20,"The nationalists of the first half of the nineteenth century were often?:","conservatives waving the flag of hard-line politics.","radicals who called for working-class revolution.","liberals attempting to overthrow tyrannical regimes.","members of the Old Regime.","romantics who valued the vernacular and folklore.","liberals attempting to overthrow tyrannical regimes."
21,"Changes affecting women in Western Europe since the 1950s include?:","greater participation in the labor force.","the achievement of wage equality with men.","a reduction in life expectancy.","increasing family size.","declining opportunities in higher education.","greater participation in the labor force."
22,"The surrealistic movement in modern abstract art is based upon the theme of?:","an internal vision of external objects.","providing a mathematical equation to balance the work.","portraying the subconcious and irrational in the artists work.","the use of geometrical forms to portray time and space.","a \'stream of conciousness\' development upon the artistic canvas.","portraying the subconcious and irrational in the artists work."
23,"The French writer Simone de Beauvoir?:","became a radical when she was refused admission to the Sorbonne.","provided European women an intellectual framework for their feminism.","played a pivotal role in the founding the National Organization for Women.","became a radical when she was refused employment as a teacher.","collaborated with American Betty Friedan on The Feminine Mystique.","provided European women an intellectual framework for their feminism."
24,"Which of the following statements about immigration to Western Europe since 1960 is NOT accurate?:","immigrants from poor countries were recruited to do poorly paid jobs in wealthier countries.","the admission of former colonies to the European Communist facilitated immigration.","immigration created significant Muslim communities in several Western European countries.","anti-immigrant movements became a significant political force in many Western European countries.","immigrant communities in Western European countries became targets for violent attacks.","the admission of former colonies to the European Communist facilitated immigration."
25,"Existentialism?:","saw human beings as morally corrupt.","tended to dwell on the perfection of mankind.","agreed that mankind was in a state of decline.","saw human beings as condemned to be free because of a rejection of societal customs.","stressed the idea that the separation of human experience into its component parts was the proper path to understanding.","saw human beings as condemned to be free because of a rejection of societal customs."
26,"The influential Annales school of historical thinking, developed in France, focuses on?:","the role of the "ruling classes" in directing society.","a microscopic examination of the immediate causes of events.","politics and a careful narrative of events.","the influence of the modern business corporation in politics.","long-term elements in historical change such as population, economy, climate and natural resources.","long-term elements in historical change such as population, economy, climate and natural resources."
27,"Which group has seen its importance in European politics increase since the 1970s?:","Eurocommunists.","environmentalists.","religious fundamentalists.","trade union parties.","socialists and communists.","environmentalists."
28,"This theologian urged each individual to seek God alone without relying on organized religion?:'","Soren Kierkegaard.","Bruno Bauer.","Oscar Schindler.","Joseph Smith.","Friedrich Nietzsche.","Soren Kierkegaard."
29,"A characteristic of Late Modernism was?:","an undaunting optimism.","a commitment to a fixed set of standards in art.","appropriation of images of mass culture.","function follows form.","a sense of saving Western civilization from itsef.","a sense of saving Western civilization from itsef."
30,"All of the following were 20c art movements EXCEPT?:","Bauhaus.","Dadaism.","Impressionism.","Cubism.","Expressionism.","Impressionism."
31,"Louis XIV supported all of the following EXCEPT?:","the building of the Palace of Versailles.","cooperation with the Estates-General.","art and culture.","the policies of Cardinal Richelieu.","the theory of divine right of kings.","cooperation with the Estates-General."
32,"The  corvee ?:","was involuntary forced labor imposed on French peasants.","was a tax assigned exclusively to French nobles that required them to pay their serf\'s feudal dues.","was a special, annual tax exemption granted to French nobles.","was a tool that improved the annual plowing of soil intended for agricultural use.","was the annual tax increase levied against nobles in France.","was involuntary forced labor imposed on French peasants."
33,"The English political philosopher, Thomas Hobbes, held that?:","only French kings ruled by divine right.","only in England was a limited, constitutional monarchy possible.","mankind is inherently good and requires no formal government.","Parliament ruled by divine right.","the power of the ruler was absolute but derived from an implicit contract with the governed.","the power of the ruler was absolute but derived from an implicit contract with the governed."
34,"Peter the Great\'s "Europeanization" of Russia consisted primarily of?:","establishing a Senate to debate progressive legislation.","giving Russian women equal political if not social rights to Russian men.","importing Western technocrats and technology to his country.","requiring his people to shave their beards and dress like Englishmen.","constitutional government and democratic government.","importing Western technocrats and technology to his country."
35,"Between the 16c and 17c, peasants in Poland, Bohemia, Hungary, and Russia?:","enjoyed more prosperity and independence.","were losing their rights and freedoms.","escaped from the corvee.","were granted democratic control over village life.","migrated to the West in massive numbers.","were granted democratic control over village life."
36,"The guiding force behind Cardinal Richelieu\'s domestic policies was?:","reform of the church.","a belief in decentralization.","the subordination of all groups and institutions to the monarchy.","the sovereignty of the people.","hostility to the Huguenots.","the subordination of all groups and institutions to the monarchy."
37,"In what ways was political life in the Netherlands unique in Europe in the 17c and 18c?:","the Netherlands was a republic with a decentralized government.","the Netherlands established the first parliamentary system of government.","political life in the Netherlands was dictated by the rules of a strict theocracy.","the Netherlands enjoyed a strongly centralized government.","the Netherlands was ruled by a powerful monarchy.","the Netherlands was a republic with a decentralized government."
38,"A significant feature of English society in the 16c and 17c was the?:","resurgence of Roman Catholicism.","declining popularity of "reformed" religions.","economic decline of the business classes.","increasing importance of monasticism.","growing wealth of the country genrty and middle-class businessmen.","growing wealth of the country genrty and middle-class businessmen."
39,"Colbert\'s contributions to the economy of France included all of the following EXCEPT?:","establishing new industries and colonial ventures.","creating a national bank.","improving the transportation and communication systems within France.","setting up tariffs to protect French industry.","creating a powerful merchant marine to transport French goods.","creating a national bank."
40,"The overall practical purpose of the court of Versailles was to?:","serve as Louis XIV\'s residence from which to survey Paris.","act as a reception hall for state affairs.","exclude the high nobility and royal princes from real power.","act as an art museum for the people of Paris.","give Louis XIV a life of privacy away from spies.","exclude the high nobility and royal princes from real power."
41,"During the English Revolution, the Levellers advocated the idea that?:","all private property should be abolished.","the economic playing field needed to be leveled to allow for greater opportunities for the poor.","the monarchy had to be restored.","all men should have the vote regardless of whether they own property.","there was a constract between the government and the people.","all men should have the vote regardless of whether they own property."
42,"The cabinet system in England is based upon the view that government leadership must?:","be divided into separate branches.","include the lower classes.","be elected to and supported by a majority of Parliament.","be representative of all political parties.","include two parties.","be elected to and supported by a majority of Parliament."
43,"Jacques Bossuet was the seventeenth century\'s most articulate?:","Catholic theologian on matters of prayer and personal devotion.","proponent of limited monarchy and constitutional government.","financial adviser to Louis XIV.","French Huguenot lawyer in cases involving religious freedom.","advocate of the absolute, divinely ordained right of kings.","advocate of the absolute, divinely ordained right of kings."
44,"Which of the following exerted the most influence on Italy in the eighteenth century?:","Dutch.","Austrians.","Spanish.","Turks.","English.","Austrians."
45,"The War of the Spanish Succession began when Charles II of Spain left his territories to?:","the French heir.","his son.","the Spanish heir.","the archduke of Austria.","Eugene of Savoy.","the French heir."
46,"Ivan III was responsible for the?:","conversion of Russia to Roman Catholicism.","military campaigns that freed much of Russia from the Mongols.","creation of the Eastern Orthodox Church in Russia.","policies of Westernization that required changes in dress among the Russian elite.","abolition of serfdom in Russia.","military campaigns that freed much of Russia from the Mongols."
47,"Which of the following was the most significant factor in the rise of national states in western Europe?:","the end of serfdom.","the acquiring of colonies in the New World.","the rise of the feudal nobility.","the need for protection from barbarian invasions.","the rise and support of the middle class.","the rise and support of the middle class."
48,"The Siege of Vienna in 1683 was undertaken by?:","the Hungarians under Prince Romanov.","the Venetians.","Frederick William of Prussia.","the Turks.","the Bohemians.","the Turks."
49,"Peter the Great\'s reforms included?:","requiring the Russian nobility to wear Western clothing and speaking French at court.","a lessening of the burdens of serfdom for Russian peasants.","an elimination of the merit-system bureaucracy.","the abolition of serfdom.","the creation of an independent parliament.","requiring the Russian nobility to wear Western clothing and speaking French at court."
50,"During the 16th century the main reason for the increase in power of the English monarch was the?:","Glorious Revolution.","ability of the Stuart rulers.","increased position of the nobility.","ability of the Tudor monarchs.","marriage of Queen Mary to Philip II of Spain.","ability of the Tudor monarchs."
51,"In 1640 Charles I called Parliament into session because he?:","needed money to pursue his war against France.","became a supporter of democratic principles.","wanted to change his religion.","wanted a declaration of war against Spain.","needed money to suppress a rebellion in Scotland.","needed money to suppress a rebellion in Scotland."
52,"In the 18c, the principal economic activity of the Netherlands was?:","cloth manufacturing.","banking and finance.","tulip cultivation.","maritime commerce.","agricultural production.","banking and finance."
53,"Although different in their sources of power, the governments of 18c Great Britain and France had which of the following characteristics in common?:","both nations were constitutional monarchies.","the power to levy taxes was controlled by the monarch in both nations.","by the mid-1700s, the Prime Minister had become the real power in British and French politics, not the monarchy.","neither nation had wide class differences.","both nations had a small elite of landowning aristocrats who were considered the "natural" ruling class with power and influence in the government.","both nations had a small elite of landowning aristocrats who were considered the "natural" ruling class with power and influence in the government."
54,"An immediate effect of the Glorious Revolution in England was?:","the return of the Tudors as rulers of England.","universal manhood suffrage.","the persecution of members of the Anglican Church.","the decline of England as a colonial power.","the supremacy of Parliament over the monarchy.","the supremacy of Parliament over the monarchy."
55,"What did John Locke mean by the term  tabula rasa ?:","the \'unchangeable tablet\' on which the largest amount of an individual\'s future has already been written.","instinctual behavior.","the \'gene pool\' passed from parent to child.","the \'blank slate\' that is the human mind at birth.","the hierarchy of races in the world--with Europeans occupying the highest position.the hierarchy of races in the world--with Europeans occupying the highest position.","the \'blank slate\' that is the human mind at birth."
56,"Thomas Hobbes and John Locke disagreed over the theory that?:","man once lived in a state of nature without government.","kings rule by divine right.","the only alternative to social chaos is absolute monarchy.","man\'s mind is at birth a  tabula rasa.","all men are endowed with certain unalienable rights.","the only alternative to social chaos is absolute monarchy."
57,"The Pragmatic Sanction (1713) stated that the Hapsburg possessions?:","could never be passed to a female heir","could never be divided.","were always to remain within the Austrian branch of the fa","were to be inherited by Louis XIV\'s grandson after the death of Charles VI.","could follow whichever religion the majority of people in each area favored.","could never be divided."
58,"18c British nobility differed from 18c French nobility in that?:","the French nobility paid direct taxes and had no significant legal privileges.","the English aristocracy paid no taxes while the French nobility were burdened with the taille and the gabelle.","the French nobility did not enjoy hereditary privileges as did the English.","the English aristocracy accepted the social and political responsibilities of their position and participated more directly in running their government.","none of these choices are correct.","the English aristocracy accepted the social and political responsibilities of their position and participated more directly in running their government."
59,"In the 18c, Europe\'s largest city was?:","Berlin.","London.","Vienna.","Paris.","Rome.","London."
60,"Peasant life in 18c Europe was characterized by?:","close and cordial relations with local landlords.","new opportunities for all rural children to obtain an elementary education.","a willingness to try experimental farming techniques.","the confining of women to household activities.","vulnerability to rising taxes and rents.","vulnerability to rising taxes and rents."
61,"The artistic movement that replaced the Baroque during the Enlightenment was?:","Romanesque.","Neo-Classical.","Empirical.","Rococo.","Mannerism.","Rococo."
62,"In 18c England, the greatest threat to the economic security of small farmers was?:","the Enclosure Movement.","laissez-faire  economic policies.","the political influence of the Church of England.","economic competition from French farmers.","the increasing use of agricultural land by industrial interests.","the Enclosure Movement."
63,"Economic and social life among the mass of people under the  Ancien Regime  of the 18c still primarily focused around?:","parliamentary elections.","the harvest.","the London Stock Exchange.","military service.","colonial trade.","the harvest."
64,"The European lower classes reacted to the Enlightenment by?:","supporting their rulers against the nobles and clergy.","violently rebelling against their governments.","seeking comfort in grass-roots religious revival movements.","more of them turning to crime.","immersing themselves in spiritual and philosophical study.","seeking comfort in grass-roots religious revival movements."
65,"Which of the following statements best describes the attitude toward children in the first part of the 18c?:","they were protected and cherished.","they were never disciplined.","they were treated as they were--children living in a child\'s world.","they were ignored, often brutalized, and often unloved.","they were seen as property.","they were ignored, often brutalized, and often unloved."
66,"Who were the first to initiate a political campaign to abolish slavery?:","French  philosophes .","Quakers and Baptists.","the British navy.","the Brazilian government.","Dutch merchants.","Quakers and Baptists."
67,"Which of the following statements best applies to Europe\'s social order in the 18c?:","it differed from the Middle Ages in that wealth was the sole determining factor in a person\'s social standing.","the nobility was homogeneous and served the same social function throughout Europe.","peasants and nobles grew closer socially in eastern Europe, where serfdom was eradicated.","most of 18c European universities allowed students from the lower and middle classes to enroll and attend some classes.","peasants were still hindered by a variety of feudal services and fees imposed by the powerful aristocracy.","peasants were still hindered by a variety of feudal services and fees imposed by the powerful aristocracy."
68,"European efforts to deal with crime after 1700?:","rejected imprisonment because of its high unit cost.","never employed the use of torture.","increased the severity of punishment for theft.","employed public displays of punishment for the purpose of deterrence.","reserved the use of capital punishment exclusively for criminal cases.","employed public displays of punishment for the purpose of deterrence."
69,"During the  Ancien Regime , European Jews?:","were separated from non-Jews in districts called ghettos.","were permitted equal access to social and economic opportunities in western European countries.","were living primarily in western Europe.","enjoyed all of the rights and privileges of other subjects.","were pro-monarchy.","were separated from non-Jews in districts called ghettos."
70,"Which post-World War II leader is INCORRECTLY paired with the country he led?:","MacMillan and England.","Tito and Italy.","Khrushchev and the U.S.S.R.","DeGaulle and France.","Adenauer and West Germany.","Tito and Italy."
71,"The North Atlantic Treaty Organization was formed in response to?:","the events surrounding the Berlin Blockade.","the communist victory in the civil war in China.","Soviet refusal of Marshall Plan assistance for all of eastern Europe.","the Soviet formation of the Warsaw Pact.","Soviet detonation of its first nuclear device.","the events surrounding the Berlin Blockade."
72,"The collapse of the Fourth Republic and the rise of the Fifth Republic occurred in France over?:","fear of renewed war with Germany.","economic collapse.","breakdown in relations with the United States.","socialist welfare policy.","the independence movement in Algeria.","the independence movement in Algeria."
73,"Euro-communism is?:","the term used to describe the general program of French communism during the 1950s.","a program devised by Italian Communists to make their policies more compatible with the needs of Western Europe.","a literary and artistic movement of the late 1950s and early 1960s which stressed the importance of the individual worker in European society.","the hope of Eastern European Communists to maintain some power and credibility after the changes of 1989-1990.","the Soviet policy to expand Soviet hegemony following 1945.","a program devised by Italian Communists to make their policies more compatible with the needs of Western Europe."
74,"The decision of the East Germans to erect a wall dividing East and West Berlin?:","was made in 1961 to halt the flow of refugees from East Germany.","recognized that Berlin was a city of spies whose movements needed to be restricted.","to prevent the infiltration of western spies into East Berlin.","occurred immediately following the outbreak of the Korean War to symbolize Communist disenchantment with the West.","was intended to illustrate that East Germany would never again unite with West Germany.","was made in 1961 to halt the flow of refugees from East Germany."
75,"Which communist country successfully asserted independence from Moscow\'s control soon after the end of the Second World War?:","Bulgaria.","Poland.","Yugoslavia.","Czechoslovakia.","Hungary.","Yugoslavia."
76,"Which of the following was NOT a result of the Polish and Hungarian disturbances in 1956?:","they demonstrated the hollowness of American political rhetoric.","they demonstrated that Austrian neutrality would not be imitated in Eastern Europe.","they demonstrated the limitations of independence within the Soviet bloc.","they exposed the lack of military will on the part of the West to really help freedom-fighters in Eastern Europe.","they brought an end to independent action in the Soviet bloc.","they brought an end to independent action in the Soviet bloc."
77,"Under Clement Atlee\'s administration, the government?:","undertook a major housing program.","strongly supported British trade unions.","assumed ownership of certain major industries.","instituted a major program of welfare legislation.","all of these choices are correct.","all of these choices are correct."
78,"One of the most important causes of the Cold War between the USSR and the United States after World War II was?:","refusal of the Western powers to give the USSR a role in post war Germany.","rivalries with the Eastern bloc.","ideological conflicts.","border disputes in Scandinavia.","Russian occupation of northern Italy.","ideological conflicts."
79,"The "Prague Spring" refers to?:","a new agricultural program introduced by the Czechoslovak Communist leadership that led to the "Green Revolution" in Eastern Europe.","the unsuccessful liberalization program attempted by Alexander Dubcek.","a great drought in 1968.","a cultural flowering of Czech literature in the immediate post-World War II era.","the increase in the number of Czech troops committed to the Warsaw Pact.","the unsuccessful liberalization program attempted by Alexander Dubcek."
80,"The most serious fear shared by Soviet and Western statesmen after World War II was?:","political deadlocks in the United Nations.","success of communism in Italy.","formation of the Common Market.","revival of a strong military state in Germany.","the failure of democracy in Czechoslovakia.","revival of a strong military state in Germany."
81,"Which BEST characterizes West Germany\'s  Ostpolitik ?:","the refusal to have economic ties with any nation that extended diplomatic recognition to East Germany.","withdrawal from the Common Market in favor of economic integration in Eastern Europe.","West German rearmament and participation in NATO.","the establishment of better relations with Eastern Europe.","West Germany\'s withdrawal from the United Nations in 1965.","the establishment of better relations with Eastern Europe."
82,"The most serious post-World War II split in the Communist Bloc was?:","the rupture of the Soviet-Chinese alliance.","the defection of Marshall Tito.","Cuba\'s objections to Soviet policy.","the Ceascescu regime in Rumania.","the loss of Albania.","the rupture of the Soviet-Chinese alliance."
83,"Between the death of Stalin and the rise of Gorbachev, the Soviet Union?:","dismantled the KGB.","solved its agricultural problems.","experienced some liberalization along with increasing economic decline.","renounced repression of revolt in the satellites.","all of these choices are correct.","experienced some liberalization along with increasing economic decline."
84,"The Marshall Plan?:","would supply military assistance to any country threatened by communism.","excluded the Soviet Union and eastern Europe from participation.","was viewed by Western Europe as Capitalist imperialism.","was not considered a success.","intended to rebuild European prosperity and stability.","intended to rebuild European prosperity and stability."
85,"One of de Gaulle\'s important achievements was to?:","resolve the Algerian crisis by giving the Algerians the right to vote in the French parliament.","end political instability in France.","take the lead in the expansion of the Common Market by negotiating the membership of Britain.","increase the value of the French franc in relationship to the U. S. dollar.","take the lead in promoting the non-proliferation of nuclear weapons.","end political instability in France."
86,"One of Gorbachev\'s key policies was  perestroika , which meant?:","drastic restructuring of the centrally planned command economy.","the rapid creation of a free market economy.","political rule by a three-person directorate.","abolishing the KGB and introducing free political elections.","at first, drastic political restructuring; later Gorbachev believed such restructuring could be applied to society as a whole.","drastic restructuring of the centrally planned command economy."
87,"During the Khrushchev era (1956-64) the Soviet Union?:","retreated from some Stalinist practices.","enjoyed great expansion in agricultural production.","sought to join NATO.","rapidly created a consumer economy.","became democratic.","retreated from some Stalinist practices."
88,"The most innovative Soviet postwar scientific achievement was its?:","construction of the world\'s largest dam on the Volga River.","construction of the massive  gulag  network.","design and production of high-quality fighter planes.","launch of the world\'s first unmanned space satellite.","explosion of atomic and hydrogen bombs.","launch of the world\'s first unmanned space satellite."
89,"Khrushchev solidified his position as Stalin\'s successor with a speech to the Twentieth Party Congress in 1956 that he?:","further glorified Stalin by revealing some of his additional achievements.","started a campaign to eliminate Stalin\'s influence by revealing his atrocities and reducing his prestige.","supported the Egyptian side in the Suez Crisis.","promised a rapid end to communist control of Eastern Europe and China.","announced an end to the Cold War and the signing of a military alliance with America.","started a campaign to eliminate Stalin\'s influence by revealing his atrocities and reducing his prestige."
90,"In reality, the policy of  detente  between the Soviet Union and the United States?:","encouraged the eruption of new conflicts in the Third World.","only worsened relations and increased tensions among the superpowers.","was bitterly opposed by both Nixon and Brezhnev.","defined the process by which the superpowers agreed to formalize their postwar dominance.","none of these choices are correct.","defined the process by which the superpowers agreed to formalize their postwar dominance."
91,"As President of France, Charles de Gaulle\'s policy toward the Cold War was to?:","remain independent of both superpowers.","make France the leading member of NATO.","follow the American lead throughout.","form a close military and economic alliance with Britain and West Germany.","closely align France with the Warsaw Pact nations.","remain independent of both superpowers."
92,"The European Economic Community had its origins in an agreement about?:","agricultural production.","coal and steel production.","railway operation.","river navigation.","response to the report of the Club of Rome.","coal and steel production."
93,"All of the following are reactions to the development of nuclear weapons EXCEPT?:","fear of M.A.D., mutually assured destruction, which led to the suspension of nuclear war.","the proliferation of nuclear weapons.","the decline in the number of guerilla wars with their dependence on traditional weapons.","modern war technology, which was confined to countries that can afford it, often with traumatic consequences to the national economies.","the space exploration programs of the Soviet Union and the United States, which inclded a consideration of the use of weapons technology.","the decline in the number of guerilla wars with their dependence on traditional weapons."
94,"The outbreak of student revolts in Western Europe the late 1960s was inspired by?:","the war in Vietnam.","overcrowded classrooms and lack of professorial attention.","discontent with materialism.","poor job prospects for new graduates.","all of these choices are correct.","all of these choices are correct."
95,"The 1960 US-USSR summit meeting was wrecked when?:","the United States put a quarantine around Cuba.","the Soviets crushed an uprising in Hungary.","the United States discovered a number of Soviet spies in its midst.","the Soviets erected the Berlin Wall.","a U-2 spy plane was shot down over Russia.","a U-2 spy plane was shot down over Russia."
96,"Margaret Thatcher\'s popularity rose when she successfully prevented?:","Japan from taking Taiwan.","Argentina from taking the Falklands.","China from taking Hong Kong.","India from taking Burma.","Mexico from taking El Salvador.","Argentina from taking the Falklands."
97,"Thatcherism stressed all of the following EXCEPT?:","nationalization of industries.","high interest rates.","destroying the power of labor unions.","sharp tax cuts.","reduced government spending.","nationalization of industries."
98,"The Solidarity movement in Poland, which ultimately toppled the communist regime, was helped by what other Polish institution?:","the Polish parliament.","the peasantry.","the army.","the Catholic Church.","the dissident communist party members.","the Catholic Church."
99,"The first European country to enter into direct trade with the Far East and establish colonies there was?:","Spain.","France.","Britain.","Portugal.","Holland.","Portugal."
100,"The Spanish empire in America was characterized by?:","its enormous African slave population.","a large  creole  class of higher-level colonial government officials.","the relatively large white population.","the exhaustion of the great silver mines of Mexico and Peru by 1550.","the introduction of a manorial-like system, the  encomienda.","the introduction of a manorial-like system, the  encomienda."
101,"Which of the following groups generally benefited from the inflation of the sixteenth century?:","landowning nobility.","merchants.","peasants.","colonial officials.","all of these groups benefited.","merchants."
102,"Why did the English, Dutch, and French governments fail to begin colonization of the Americas and direct trade with the Orient until more than 100 years after Columbus discovered America?:","their geographical positions put them at a disadvantage for trans-oceanic movement.","the northern countries lacked suitable ships and the advanced technology to make long voyages.","domestic troubles and religious controversies delayed organized action.","Western European bankers refused to loan monarchs money for such ventures.","the northerners were slow to abandon their traditional Mediterranean trade routes.","domestic troubles and religious controversies delayed organized action."
103,"Spain\'s expansion in the Americas was made particularly easy by?:","the absence of prior civilizations among the native peoples.","the impact of imported diseases on the Indian population.","Spain\'s leadership in European banking and commerce.","the belief that Europe had much to learn from the religions and customs of other peoples.","competition between Protestant and Catholic missionaries sent out by Spain.","the impact of imported diseases on the Indian population."
104,"The Treaty of Tordesillas (1494) granted Portugal the eastern trade route to the Indies as well as Brazil; lands to the west of Brazil were given to?:","England.","Italy.","Spain.","France.","Holland.","Spain."
105,"The technological innovations in maritime technology by the 1500s were important because?:","they made it cheaper to sail.","they increased the number of slaved needed to sail the ships.","they required literate sailors.","they made it possible for Europeans to sail anywhere.","all of these choices are correct.","they made it possible for Europeans to sail anywhere."
106,"By the 16th century the center of commercial activity had shifted from the Mediterranean to the?:","Atlantic Ocean.","Red Sea.","Indian Ocean.","Baltic Sea.","North Sea.","Atlantic Ocean."
107,"Encomiendas  in the Spanish New World were?:","local councils of aristocratics who assisted the viceroys.","grants permitting owners to take income or labor from land and its inhabitants.","special schools set up in the Franciscan missions to educate native Indian children.","elected colonial assemblies.","local Indian chiefs who collected taxes and administered Spanish laws.","grants permitting owners to take income or labor from land and its inhabitants."
108,"Scarcity of labor in the Americas led the Spanish and Portuguese colonizers to?:","establish a wage-earning system for the Indians.","institute policies that protected the Indians.","import slaves from Africa.","encourage English and Dutch settlers to emigrate to the New World.","all of these choices are correct.","import slaves from Africa."
109,"The Mediterranean carrying trade in the 14c and 15c was in the hands of?:","the Marseilles merchants.","Venice.","Constantinople.","Greek city-states.","Florence.","Venice."
110,"Portuguese exploration of the African coast was inspired and supported by?:","Bartholomew Diaz.","Emperor Charles V.","Ferdinand and Isabella.","John Cabot.","Prince Henry the Navigator.","Prince Henry the Navigator."
111,"The major cause of the growing weakness of Spain and Portugal after 1600 was the?:","drain placed on Iberia\'s finances by colonization efforts in the Americas.","failure to find productive investments with profits from New World colonies.","invasion of the Iberian Peninsula by France.","deflationary impact of bullion imports.","successful opposition by Amerindians and Africans.","failure to find productive investments with profits from New World colonies."
112,"All of the following helped cause the Age of European Exploration EXCEPT?:","technological advances making long sea voyages possible.","the desire to spread Christianity to native Indian peoples.","the Mughals\' continued encroachment into Central Europe.","European demand for eastern spices.","Ottoman expansion threatening access to the goods of the East.","the Mughals\' continued encroachment into Central Europe."
113,"In 1571 the Spanish and Turkish control of the Mediterranean at the battle of?:","the Dardanelles.","Gibraltar.","Trafalgar.","Lepanto.","Haifa.","Lepanto."
114,"Which BEST explains the decline of Spanish power in the 17c?:","foolish monarchs and an uncertain flow of treasure from the New World.","an unproductive and wasteful nobility.","foreign policy reversals.","the decline of the importation of raw materials.","the Catholic Church no longer supported the merchant class in Spain.","foolish monarchs and an uncertain flow of treasure from the New World."
