ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
14,"Consumer research, product development, communication, distribution, pricing, and service are all core ________ activities.","exchange","marketing","management","production","customer relationship management","marketing"
15,"Which of the following is the most likely result of a marketing strategy that attempts to serve all potential customers?","All customers will be delighted.","Customer-perceived value will increase.","Customer evangelists will become unpaid salespersons for the service or product.","Not all customers will be satisfied.","The company will need to follow up with a demarketing campaign.","Not all customers will be satisfied."
16,"In the case of excess demand, ________ may be required to reduce the number of customers or to shift demand temporarily or permanently.","marketing","demarketing","value marketing","surplusing","negotiating","demarketing"
17,"The art and science of choosing target markets and building profitable relationships with them is called ________.","marketing management","positioning","segmentation","selling","differentiation","marketing management"
18,"Selecting which segments of a population of customers to serve is called ________.","market segmentation","positioning","customization","target marketing","managing the marketing effort","target marketing"
19,"Which of the following is the set of benefits a company promises to deliver the customer to satisfy their needs?","a money-back guarantee","low pricing","good customer service","a value proposition","an attribute","a value proposition"
20,"Which customer question is answered by a company's value proposition?","Why should I buy your brand rather than a competitor's?","How does your brand benefit me and society?","What are the costs and benefits of your brand?","What kind of experience will I have with products and services associated with this brand?","What are the benefits of being a loyal consumer of your brand?","Why should I buy your brand rather than a competitor's?"
21,"Which of the following marketing management orientations focuses primarily on improving efficiencies along the supply chain?","production concept","product concept","selling concept","marketing concept","social marketing concept","production concept"
22,"Which of the following marketing management concepts is most likely to lead to marketing myopia?","customer-driven marketing","customer-driving marketing","social marketing","selling","production","production"
23,"The ________ concept is aligned with the philosophy of continuous product improvement and the belief that customers will choose products that offer the most in quality, performance, and innovative features.","product","production","customer","marketing","promotion","product"
24,"The product concept says that a company should do which of the following?","improve marketing of its best products","market only those products with high customer appeal","focus on the target market and make products that meet those customers' demands","focus on making continuous product improvements","make promoting products the top priority","focus on making continuous product improvements"
25,"Build a better mousetrap and the world will beat a path to your door reflects the ________ concept.","production","marketing","selling","product","target marketing","product"
26,"Which concept calls for aggressive selling and focuses on generating transactions to obtain profitable sales?","marketing","production","product","selling","societal marketing","selling"
27,"Which concept holds that achieving organizational goals depends on knowing the needs and wants of target markets and delivering the desired satisfactions better than competitors do?","product","production","selling","marketing","equity","marketing"
28,"A firm that uses the selling concept takes a  ________ approach.","outside-in","myopic","inside-out","societal","customer service","inside-out"
29,"According to the production concept, consumers will favor products that are ________ and ________.","satisfying; quality focused","advertised; affordable","in high demand; hard to find","segmented; convenient","available; affordable","available; affordable"
30,"Herb Kelleher of Southwest Airlines used the marketing concept in his successful organization. Having a customer department rather than a marketing department, as suggested by Kelleher, is an example of a  ________ perspective.","outside-in","external","inside-out","modern","traditional","outside-in"
31,"Though often criticized, the selling concept is particularly appropriate and effective with which of the following types of products?","convenience","shopping","specialty","unsought","demarketed","unsought"
32,"Which of the following reflects the marketing concept philosophy?","We don't have a marketing department; we have a customer department.","We're in the business of making and selling superior products.","We build them so you can buy them.","When it's profits versus customers' needs, profits will always win out.","You won't find a better deal anywhere.","We don't have a marketing department; we have a customer department."
33,"Customer-driven marketing usually works well when ________ and when customers ________.","a clear need exists; are difficult to identify","customers know what they want; are loyal to the brand","a firm can deliver the goods desired; are thoroughly researched","a clear need exists; know what they want","a need exists; don't know what they want","a clear need exists; know what they want"
34,"Marie Ortiz enjoys her work at Futuristic Designs, Inc. Her organization understands and anticipates customer needs even better than customers themselves do and creates products and services to meet current and future wants and demands. Marie's firm practices ________ marketing.","customer-driven","customer-driving","relationship","donor","social","customer-driving"
35,"When customers don't know what they want or don't even know what's possible, the most effective strategy is ________ marketing.","customer-driven","customer-driving","societal","production","product","customer-driving"
36,"The societal marketing concept seeks to establish a balance between consumer short-run wants and consumer ________.","short-run costs and profits","short-run ethics","long-run welfare","immediate health","value propositions","long-run welfare"
37,"Which concept holds that firms must strive to deliver value to customers in a way that maintains or improves the consumer's and society's well-being?","marketing","selling","product","societal marketing","equity","societal marketing"
38,"The three areas of consideration that should be balanced in the societal marketing concept are consumer wants, society's interests, and ________.","human welfare","want satisfaction","company profits","short-run wants","long-term needs","company profits"
39,"The set of marketing tools a firm uses to implement its marketing strategy is called the ________.","promotion mix","product mix","marketing mix","TQM","marketing effort","marketing mix"
40,"Of the following, which is the most important concept of modern marketing?","customer relationship management","societal marketing","consumer-generated marketing","properly trained salespeople","low prices","customer relationship management"
41,"Building, keeping, and growing profitable relationships by delivering customer value and satisfaction is called ________.","customer lifetime value","customer perceived value","customer relationship management","database marketing","societal marketing","customer relationship management"
42,"Customer-perceived value is determined by a customer's ________ of the benefits and costs of a market offering relative to those of competing offers.","personal assessment","rational expectations","accurate assessment","objective evaluation","emotional understanding","personal assessment"
43,"It is most accurate to say that customers buy from stores and firms that offer which of the following?","the highest value for the dollar","the highest customer-perceived value","the highest level of customer satisfaction","the most attractive company image","the most concern for society's interests","the highest customer-perceived value"
44,"________ is defined as the customer's evaluation of the differences between all the benefits and all the costs of a marketing offer relative to those of competing offers.","Customer equity","Customer satisfaction","Customer evangelism","Customer-perceived value","Marketing myopia","Customer-perceived value"
45,"Which of the following is the term for customers who make repeat purchases and tell others about their positive experiences with a product or service?","satisfied customers","customer evangelists","butterflies","full partners","social customers","customer evangelists"
46,"Which of the following strategies would a company most likely use to increase customer satisfaction?","decreasing the variety of offered services","demarketing","lowering prices","firing unprofitable customers","limiting customer experiences with a brand","lowering prices"
47,"A room upgrade offered by a hotel to a guest who often stays in the hotel is an example of a ________.","frequency marketing program","basic customer relationship","club marketing program","partner relationship management technique","structural benefit","frequency marketing program"
48,"iRobot, the makers of Roomba, have involved their customers in product development, marketing, and technical support in an effort to foster which of the following?","basic relationships","customer delight","selective relationship management","customer-perceived value","frequency marketing programs","customer delight"
49,"In which of the following situations has a company most actively turned its consumers into marketing partners?","American Airlines awards frequent flyer points to returning customers.","Paige Premium Denim jeans provide a superior quality and a perfect fit.","iRobot invites enthusiastic Roomba owners to develop and share their own programs and uses for the company's robotic vacuum.","Best Buy distinguishes between its best customers, called angels, and its less profitable customers, called demons, stocking merchandise to appeal to separate groups of its angels.","Toyota develops a marketing presence on social networks and other online communities.","iRobot invites enthusiastic Roomba owners to develop and share their own programs and uses for the company's robotic vacuum."
50,"Using customer profitability analysis to weed out unprofitable customers and target winning ones for pampering is referred to as ________.","customer relationship management","positioning","database marketing","selective relationship management","marketing myopia","selective relationship management"
51,"Pete Sanchez, a recent graduate of business school, has a different approach than his marketing manager, who believes in keeping customers at arm's length and using mass media advertising. Pete knows that today few successful firms still practice true ________ and are instead turning to selective relationship management.","club marketing","frequency marketing","mass marketing","customer satisfaction","market segmentation","mass marketing"
52,"The Niketown running club that organizes twice weekly evening runs and follow-up meetings in the Nike Store is an example of which of the following?","a frequency marketing program","a basic customer relationship","a club marketing program","a partner relationship","a structural benefit provided for top customers","a club marketing program"
53,"Which of the following has NOT contributed to the deeper, more interactive nature of today's customer relationships?","e-mail","Web sites","online social networks","traditional advertising","video sharing","traditional advertising"
54,"Which of the following best explains why consumers have greater power and control in today's marketplace?","The production concept and competition have lowered prices.","Implementation of the product concept has resulted in continually improving products.","Customer-driven marketing creates products and services that meet customers' future needs.","More companies are implementing social marketing and weighing long-term costs and benefits.","Through new communication technologies, customers have more access to information and more methods of sharing their opinions with other customers.","Through new communication technologies, customers have more access to information and more methods of sharing their opinions with other customers."
55,"Greater consumer control means that companies must rely more on marketing by ________ than by ________.","interruption; involvement","interaction; intrusion","socialization; information","producing; selling","inspiration; competition","interaction; intrusion"
56,"To create customer value and build strong customer relationships, marketers know they cannot go it alone; therefore, they practice ________.","partner relationship management","database marketing","attractive Web site design","customer equity","consumer-generated marketing","partner relationship management"
57,"In today's world, marketing should be done by ________ employees in an organization.","only marketing","only marketing, sales, and customer-support","only sales and technology","only management and marketing","all","all"
58,"Through ________, many companies today are strengthening their connections to all partners, from providers of raw materials to components to final products that are delivered to final buyers.","supply chain management","direct marketing","partnership relationship marketing","customized marketing","equity marketing","supply chain management"
59,"Suzie Chan strengthens her company's connections by treating suppliers of raw materials, vendors, and distributors as partners in delivering customer value. What type of management is she practicing?","outside partnering","inside partnering","marketing","supply chain","customer development","supply chain"
60,"The final step in the marketing process is ________.","capturing value from customers","creating customer loyalty","creating customer lifetime value","understanding the marketplace","designing a customer-driven marketing strategy","capturing value from customers"
61,"Stew Leonard, the owner of a highly successful regional supermarket chain, reacts adversely to losing a single customer sale. He feels that this amounts to losing the entire stream of future purchases that a customer is likely to make if he or she remains in the area. Stew Leonard's concern is an illustration of which of the following?","share of customer","market share","profitability","customer lifetime value","market share maintenance","customer lifetime value"
62,"Advertising Age, a magazine for advertising professionals, recently gave its Ad Agency of the Year award to ________.","the consumer","on-line marketers","Frito-Lay","Coca-Cola","YouTube","the consumer"
63,"Which of the following is an example of consumer-generated marketing?","Toyota's presence in online communities","Nike's Nike Plus running Web site","MasterCard's use of Priceless commercials shot by customers","Neiman Marcus's InCircle Rewards program for its best customers","The Lexus Covenant aimed at creating customer delight","MasterCard's use of Priceless commercials shot by customers"
64,"When an airline goes after a share of travel from its customers, it is attempting to increase ________.","customer lifetime value","share of customer","total customer spending","customer satisfaction","customer ownership","share of customer"
65,"Beyond simply retaining good customers, marketers want to constantly increase their share of customer. What does this mean in marketing terms?","Marketers want to increase their market share.","Marketers want to increase the share they get of the customer's purchasing in their product categories.","Marketers want to increase the profit margin with this target market.","Marketers want to continuously increase their customers' levels of satisfaction.","Marketers want to turn satisfied customers into delighted customers.","Marketers want to increase the share they get of the customer's purchasing in their product categories."
66,"________ is one of the best ways to increase share of customer.","Targeting new customers","Using bait and switch","Cross-selling","Relationship selling","Partnership marketing","Cross-selling"
67,"Amazon.com leverages relationships with its 35 million customers by offering them music, videos, gifts, toys, consumer electronics, and office products, among other items. Based on previous purchase history, the company recommends related CDs, books, videos, or other products that might interest a customer. This most directly helps Amazon.com capture a greater ________.","customer lifetime value","share of customer","profit margin","share of market","customer equity","share of customer"
68,"Which of the following is the total combined customer lifetime values of all a company's current and potential customers?","share of customer","customer lifetime value","customer equity","profitability","share of market","customer equity"
69,"The ultimate aim of customer relationship management is to produce ________.","customer equity","market share","sales volume","a reliable database","higher profit margins","customer equity"
70,"A potentially highly profitable, short-term customer is a ________.","true friend","butterfly","stranger","barnacle","true believer","butterfly"
71,"Customers can be classified into four relationship groups, according to their profitability and projected loyalty. Which type of customers have the highest profit potential and strong loyalty?","barnacles","strangers","butterflies","true friends","big fish","true friends"
72,"Which of the following statements about the Internet is most accurate?","Companies are cautiously using the Internet to build closer relationships with customers and marketing partners alike.","After the dot-com meltdown of 2000, fewer consumers are buying products and/or services online.","The Internet makes it easy for consumers to view, interact with, and create marketing content.","Consumer e-commerce looks promising, but business-to-business e-commerce is declining.","Web 2.0 involves a less balanced approach to online marketing than the original dot-com boom did.","The Internet makes it easy for consumers to view, interact with, and create marketing content."
73,"Which of the following is currently the fastest-growing form of marketing?","consumer-generated marketing","online marketing","mass media marketing","social marketing","word-of-mouth marketing","online marketing"
74,"Today almost every company, small and large, is affected in some way by which of the following?","the societal marketing concept","not-for-profit marketing","global competition","customer-generated marketing","caring capitalism","global competition"
75,"Governmental agencies are becoming more involved in marketing as the years pass. When a local government advertises keeping the area's streams and water supply cleaner, it is involved in ________.","green marketing","social marketing campaigns","demarketing","environmental marketing","partnership marketing","social marketing campaigns"
76,"Greg Williams now has the buying power to purchase the computer system he has wanted for the last six months. Greg's want now has become a  ________.","need","necessity","demand","exchange","transaction","demand"
77,"To avoid traffic gridlock in large metro areas, a community might use ________ to discourage travelers from driving during peak commuting hours.","target marketing","market segmentation","demarketing","marketing","the production concept","demarketing"
78,"Cathy's Clothes is a small retail chain successfully selling women's clothing and accessories with a profitable focus on buyers who have relatively modest means. This is an example of ________.","convenience","social marketing","market segmentation","target marketing","value packing","target marketing"
79,"Jolene's firm markets preplanning services for a mortician. She finds that most of her target market wants to avoid discussing their future funeral needs, and she must somehow first get their attention. Jolene's firm is most likely practicing the ________.","production concept","marketing concept","selling concept","relationship concept","societal marketing concept","selling concept"
80,"Henry Ford's philosophy was to perfect the Model-T so that its cost could be reduced further for increased consumer affordability. This reflects the ________ concept.","product","production","selling","marketing","societal marketing","production"
81,"Railroads were once operated based on the thinking that users wanted trains rather than transportation, overlooking the challenge of other modes of transportation. This reflects the ________ concept.","product","production","selling","marketing","societal marketing","product"
82,"Which of the following reflects the marketing concept?","The supplier is king.","Marketing should be viewed as hunting and not gardening.","This is what I make; won't you please buy it?","This is what I want; won't you please make it?","Customers need to be told where they want to go.","This is what I want; won't you please make it?"
83,"Some fast-food restaurants offer tasty and convenient food at affordable prices, but in doing so they contribute to a national obesity epidemic and environmental problems. These fast-food restaurants overlook the ________ philosophy.","marketing concept","product concept","production concept","societal marketing concept","selling concept","societal marketing concept"
84,"Members of the sales team at Dekko International visit only prospective customers who purchase a minimum of $50,000 of insulated wire per year. Dekko is using ________.","selective relationship management","a frequency marketing program","a club marketing program","demarketing","a value proposition","selective relationship management"
85,"You have just taken a new position in an organization and you're learning about the job functions of your new colleagues. You observe that your marketing manager is heavily involved in the process of building and maintaining profitable customer relationships. Your marketing manager frequently speaks about the need to deliver superior customer value and satisfaction. Your manager is concerned with which one of the following?","database management","Web site hits","the societal marketing concept","partner relationship management","customer relationship management","customer relationship management"
86,"Sally purchased Brand X lotion. In comparing her perception of how the lotion made her skin feel and look to her expectations for Brand X lotion, Sally was measuring her level of ________.","customer-perceived value","customer satisfaction","customer equity","demand","customer lifetime value","customer satisfaction"
87,"FedEx offers its customers fast and reliable package delivery. When FedEx customers weigh these benefits against the monetary cost of using FedEx along with any other costs of using the service, they are acting upon ________.","loyalty","relationship marketing","customer-perceived value","social relationships","a societal marketing campaign","customer-perceived value"
88,"Tommy Gray attempts to deliver customer satisfaction every day in his Audio Expressions installation business. He is a smart operator who knows that the key to this goal is to match ________ with ________.","company performance; competition","company performance; competitive prices","relationship building; performance tools","company performance; unique products","customer expectations; company performance","customer expectations; company performance"
89,"Shania works hard to foster an emotional relationship between her Internet customers and the beauty products and services that she and her staff sell. By promoting a company culture that values exceptional value and service, Shania aims to create ________ by going beyond the expected.","customer delight","customer satisfaction","customer value","customer equity","customer involvement","customer delight"
90,"You are an assistant marketing director for a firm in a market with many low-margin customers. What type of relationship would it be most profitable for you to develop with these customers?","full partnerships","basic relationships","basic partnerships","club programs","selective relationships","basic relationships"
91,"Elisandra, a marketing manager at a regional chain restaurant, has decided to sponsor a contest calling for customers to create commercials for the restaurant. Winning entries will be posted on the organization's home page. Elisandra's plan is an example of ________.","consumer-generated marketing","partner relationship management","customer lifetime value","community development around a brand","selective relationship management","consumer-generated marketing"
92,"At Gina's Nails, the posted policy is Without our customers, we don't exist. Gina and her staff aim to delight each customer, and they are quick to offer discounts or extra services whenever a customer is anything less than satisfied. Gina and her staff strive to make every customer a repeat customer. It is most accurate to say that instead of focusing on each individual transaction, Gina and her staff put a priority on ________.","maintaining customer-perceived value","enlisting customer evangelists","attracting butterflies","converting strangers","capturing customer lifetime value","capturing customer lifetime value"
93,"Afia, a team leader in charge of customer relationship management, is planning strategies for improving the profitability of her firm's least profitable but loyal customers. She is also examining methods for firing customers in this group who cannot be made profitable. To which of the following customer relationship groups do these customers belong?","butterflies","true friends","strangers","barnacles","short-term customers","barnacles"
94,"A church targeting different demographic groups to increase attendance is an example of ________.","for-profit marketing","not-for-profit marketing","societal marketing","customer evangelism","caring capitalism","not-for-profit marketing"
95,"Ben & Jerry's challenges all stakeholders, including employees, top management, and even ice cream scoopers in their stores, to consider individual and community welfare in their day-to-day decisions. Actions such as this by companies seizing the opportunity to do well by doing good reflects ________.","environmentalism","social responsibility","profit marketing","partnership management","myopia","social responsibility"
96,"Your state's department of education has budgeted a significant amount of money for a radio, print, television, and online advertising campaign emphasizing the long-term benefits, both educationally and professionally, of reading every day. This is an example of a  ________ campaign.","ethical","social marketing","for-profit","consumer-generated","differentiated","social marketing"
97,"Which of the following involves adapting a firm to take advantage of opportunities in its constantly changing environment?","long-range planning","short-range planning","media planning","strategic planning","annual planning","strategic planning"
98,"When a firm develops and maintains a strategic fit between its goals and capabilities, it is performing ________.","mission planning","values planning","strategic planning","business-portfolio planning","operations planning","strategic planning"
99,"Which of the following is the first step in strategic planning?","set objectives and goals","develop the business portfolio","define the company mission","plan marketing strategies","identify threats and weaknesses","define the company mission"
100,"Which of the following is NOT a step in the strategic planning process?","defining the company mission","setting company objectives and goals","designing the business portfolio","planning marketing and other functional strategies","evaluating all members of the value chain","evaluating all members of the value chain"
101,"Which of the following provides an answer to these questions: What is our business? Who are our customers? What do our customers value? What should our business be?","objectives and goals","a mission statement","a business portfolio","marketing and functional strategies","operational strategies","a mission statement"
102,"________ should be market oriented and defined in terms of ________.","Annual plans; product needs","Strategic plans; company needs","Long-range plans; company needs","Mission statements; customers' needs","Objectives; competitors' threats","Mission statements; customers' needs"
103,"All of the following are accurate guidelines for a company's mission statement EXCEPT which one?","A mission statement should be realistic.","A mission statement should be narrow.","A mission statement should emphasize the company's strengths in the marketplace.","A mission statement should be specific.","A mission statement should motivate employees.","A mission statement should be narrow."
104,"A company's mission statement serves as a statement of ________.","fact","values","purpose","financial goals","employee commitment","purpose"
105,"Which of the following is NOT a market-oriented business definition?","to make the Internet buying experience fast, easy, and enjoyable","to sell tools and home repair and improvement items","to deliver low prices every day","to be the guardian of our customers' financial dreams","to bring aspiration and innovation to every athlete in the world","to sell tools and home repair and improvement items"
106,"All of the following are examples of product-oriented mission statements, EXCEPT which one?","We provide online services.","We run theme parks.","We sell shoes.","We sell lifestyle and self-expression; success and status; memories, hopes, and dreams.","We rent hotel rooms.","We sell lifestyle and self-expression; success and status; memories, hopes, and dreams."
107,"Which of the following is the principle objective of a market-oriented mission statement?","to satisfy basic customer needs","to satisfy basic supplier needs","to satisfy basic stockholder needs","to satisfy basic owner needs","to satisfy basic partnership needs","to satisfy basic customer needs"
108,"Revlon has clearly defined its mission of selling lifestyle and self-expression. In order for the firm to launch its strategic plan, the mission needs to next be turned into detailed ________ that guide each level of the company.","sets of strategies","sets of tactics","product mixes","supporting objectives","sets of promotional tools","supporting objectives"
109,"The collection of businesses and products that make up a company is called its ________.","strategic business unit","mission statement","strategic plan","business portfolio","operational factor","business portfolio"
110,"Which of the following can be a company division, a product line within a division, or sometimes a single product or brand?","a market","the BCG","an SBU","a PLC","a value delivery network","an SBU"
111,"After management has identified the key businesses making up its company, what is the next step in portfolio analysis?","identifying businesses in which to invest","assessing the attractiveness of its SBUs","deciding whether to harvest any businesses","completing short-range planning","identifying SBUs","assessing the attractiveness of its SBUs"
112,"The best known product portfolio planning method was developed by ________.","the Boston Consulting Group","Philip Kotler","Harvard University","the SRI Consulting Firm","James P. Hess","the Boston Consulting Group"
113,"Most portfolio analysis methods evaluate SBUs on two dimensions, namely ________ and ________.","market share; strength of the SBU's position","market diversification; relative market share","market or industry attractiveness; strength of the SBU's position","market growth rates; profits","market penetration; market development","market or industry attractiveness; strength of the SBU's position"
114,"In the Boston Consulting Group approach, ________ provides a measure of market attractiveness.","relative market share","market development","market penetration","market growth rate","market segmentation","market growth rate"
115,"In the Boston Consulting Group approach, ________ serves as a measure of company strength in the market.","relative market share","market development","market diversification","market growth rate","market segmentation","relative market share"
116,"The BCG growth-share matrix classifies four types off SBUs. They are ________ , ________ , ________ , and ________.","product; price; promotion; placement","sales; market share; price; promotion","stars; cash cows; question marks; dogs","planning; implementing; leading; controlling","market penetration; market development;  product development; diversification","stars; cash cows; question marks; dogs"
117,"In the BCG approach, ________ are high-share, high-growth businesses or products. They need heavy investment to finance rapid growth. When their growth slows down, they turn into ________.","cash cows; stars","question marks; dogs","stars; question marks","stars; cash cows","dogs; cash cows","stars; cash cows"
118,"________ are low-growth, high share businesses or products. They generate a lot of cash that the firm uses to pay its bills and support other SBUs that need investment.","Stars","Cash cows","Question marks","Dogs","Cats","Cash cows"
119,"In the BCG matrix, income from ________ can be used to help finance the company's question marks and stars.","dogs","cash cows","SBU revenues","overseas operations","low-share businesses","cash cows"
120,"The four possible strategies that can be pursued for each SBU are building, holding, ________, and ________.","harvesting; divesting","promoting; selling","downsizing; expanding","diversifying; penetrating","developing; growing","harvesting; divesting"
121,"Which of the following does NOT accurately reflect a problem with the BCG matrix approach?","It focuses on planning for the future.","It can be costly to conduct.","It can be time consuming to implement.","It is difficult to define SBUs and measure market share and growth.","It focuses on classifying current businesses.","It focuses on planning for the future."
122,"Unlike strategic-planning efforts of the past, which were conducted primarily by senior managers, today's strategic planning is ________.","short-term oriented","decentralized","limitation-free","product oriented","centralized","decentralized"
123,"To increase its U.S. market share, Starbucks has stepped up efforts in the areas of product availability and promotion. These are examples of broad ________.","brand experiences","strategies for growth","diversification","product development","value chains","strategies for growth"
124,"Which department in a company carries the primary responsibility for achieving profitable growth?","accounting","product development","operations","human resources","marketing","marketing"
125,"Which of the following is a useful tool for identifying growth opportunities?","the BCG matrix","the business portfolio","the product/market expansion grid","the value chain","the value delivery network","the product/market expansion grid"
126,"Making more sales to current customers without changing a firm's products is ________.","market attractiveness","market penetration","market development","product development","diversification","market penetration"
127,"Starbucks has introduced a debit card that lets customers prepay for coffee and snacks. This effort by Starbucks management is an example of ________.","market development","product development","diversification","market penetration","product adaptation","market penetration"
128,"While a valuable planning tool, a problem with using the BCG matrix centers is that it focuses on ________","the future instead of the present","the present instead of the future","financial issues instead of the customer","the customer instead of suppliers","the past instead of the present","the present instead of the future"
129,"A common practice among marketers is to identify and develop new markets for their existing products. This practice is called ________.","market development","product development","market penetration","market skimming","dual adaptation","market development"
130,"Starbucks Coffee has recently begun selling and playing compilation CDs and is supporting its own XM satellite radio station. This represents which strategy for growth?","product development","market development","market penetration","diversification","partner development","diversification"
131,"Which of the following entails reducing the business portfolio by eliminating products that no longer fit the company's overall strategy?","market segmentation","the BCG  approach","product line extension","downsizing","market redesign","downsizing"
132,"Which of the following is NOT a reason that a firm might want to abandon products or markets?","The market has changed, making some of the products less profitable.","The firm has entered areas in which it does not have expertise.","The economic environment is showing signs of recovery.","The firm has grown too rapidly.","The firm has not properly researched foreign markets which it has entered.","The economic environment is showing signs of recovery."
133,"Each department in a company that carries out value-creating activities can be thought of as a link in the company's ________.","market development","product development","business portfolio","value chain","value delivery network","value chain"
134,"Jack Welch, CEO at General Electric, said that Companies can't give job security, only ________ can.","development","growth","good strategy","customers","efficiency","customers"
135,"Multinationals like Honda Motor Co. and Wal-Mart stores have designed programs to work closely with their suppliers to help them reduce their costs and improve quality. This illustrates the importance of an efficient ________.","business portfolio","low-cost operator","product mix","value delivery network","value chain","value delivery network"
136,"Which of the following is the marketing logic by which a company hopes to achieve profitable customer relationships?","price","a consistent product mix","the value delivery network","marketing strategy","differentiation","marketing strategy"
137,"Lucy Ortiz is preparing a PowerPoint presentation of the marketing process to show at a sales meeting. ________  should appear in the center of her diagram depicting marketing strategies and the marketing mix.","Sales goals","Customer value and relationships","Company objectives","Customer retention rates","Competitors","Customer value and relationships"
138,"A sound marketing strategy begins with which of the following?","customer analysis","positioning","differentiation","promotion","SWOT analysis","customer analysis"
139,"Your firm is attempting to divide up the total market to determine the best segments it can serve. Which is the correct order of doing so?","market segmentation, target marketing, market positioning","target marketing, market positioning, market segmentation","market positioning, market segmentation, target marketing","market segmentation, market positioning, target marketing","mass marketing, demographic segmentation, psychographic segmentation","market segmentation, target marketing, market positioning"
140,"The process of customer-driven marketing involves which of the following?","product; price; promotion; adaptation","market segmentation; target marketing; differentiation; positioning","marketing analysis; planning; implementation; feedback","analysis; targeting; implementation; control","problem identification; information search; decision; implementation","market segmentation; target marketing; differentiation; positioning"
141,"Which of the following is the process of dividing a market into distinct groups of buyers with different needs, characteristics, or behaviors?","market targeting","market segmentation","positioning","marketing strategy","differentiation","market segmentation"
142,"Your new employer has asked you, as a new marketing graduate, to develop a group of potential customers who might respond in a similar way to a given set of marketing efforts. You have been asked to develop a  ________.","target market","market segment","market","market strategy","undefined niche","market segment"
143,"Which of the following involves evaluating each market segment's attractiveness and selecting one or more segments to enter?","market segmentation","differentiation","market targeting","the market mix","positioning","market targeting"
144,"Which of the following is the place a product occupies in the consumer's mind relative to competition?","position","placement","market segmentation","market targeting","product promotion","position"
145,"Effective positioning begins with ________ the company's marketing offer in order to give consumers more perceived value.","pricing","aligning","differentiating","promoting","placing","differentiating"
146,"Which of the four Ps describes the goods-and-services combination the company offers to the target market?","price","promotion","product","place","package","product"
