ID, question, Option 1, Option 2, Option 3, Option 4, Option 5, Answer
30,"Parties and interest groups","determine which issues are on the policy agenda.","are not particularly interested in the policy agenda.","work hard to get the issues they want on the policy agenda.","have no effect on the policy agenda.","determine the congressional agenda.","work hard to get the issues they want on the policy agenda."
31,"A choice that government makes in response to some issue on its agenda is called","public policy.","selective selection.","a law.","stimulus-response.","rational choice theory.","public policy."
32,"________ arise when people disagree about a problem or a public policy choice made tocombat a problem.","Revolutions","Political issues","Social crises","Governments","Wars","Political issues"
33,"A key question that confronts government regarding different public policy choices is","whether an appropriate linkage institution is willing to frame a policy.","which is the most complicated one to deal with.","which is the least complicated one to deal with.","whether or not government should do anything about them.","all of the above","whether or not government should do anything about them."
34,"Public policy is defined as a","policy directed at more than one person.","course of action to solve a problem.","set of rules and regulations issued by a government agency.","course of action by a political party.","choice that government makes in response to an issue.","choice that government makes in response to an issue."
35,"Political issues","are always acted upon by the government.","arise when people disagree about a problem or public policy choices made to combat a problem.","are limited in number in the United States.","usually emerge out of group consensus on a problem.","all of the above","arise when people disagree about a problem or public policy choices made to combat a problem."
36,"Karl Marx and Friedrich Engels published","The Communist Manifesto.","A Theory of Democracy.","The Federalist Papers.","Poor Richard's Almanac.","War and Peace.","The Communist Manifesto."
37,"One type of linkage institution is","an interest group.","a government.","a bureaucracy.","a legislature.","all of the above","an interest group."
38,"The effects a policy has on people and problems is called","policy outputs.","policy implementation.","policy issues.","policy impacts.","policy agenda.","policy impacts."
39,"The writers of the United States Constitution","were distrustful of democracy.","sought to establish the most democratic system they could.","were interested in promoting equality above all else.","patterned our government after Britain's except for the King.","believed in majority rule.","were distrustful of democracy."
40,"A means of selecting policymakers and or organizing government so that policy representsand responds to the public's preferences is","government.","politics.","public administration.","democracy.","all of the above","democracy."
41,"Which of these is NOT a criterion of traditional democratic theory, as formulated by RobertDahl?","freedom of speech and press","One person gets one vote.","Citizenship must be open to all within a nation.","Those who participate in political organizations must be representative of the general population.","Citizens must make rational choices.","Citizens must make rational choices."
42,"Which of the following is NOT one of the cornerstones of an ideal democracy?","a constitution","effective participation","citizen control of the agenda","economic equality","equality in voting","economic equality"
43,"Two of the most important principles of democratic theory are majority rule and","the plurality rule.","judicial review.","minority rights.","majority restraint.","Roberts ¹ Rules of Order.","minority rights."
44,"Which of the following takes the most positive view of democracy in the United States?","democratic centralism","pluralist theory","hyperpluralism","democratic positivism","elite theory","pluralist theory"
44,"Which of the following takes the most positive view of democracy in the United States?","democratic centralism","pluralist theory","hyperpluralism","democratic positivism","elite theory","pluralist theory"
46,"All of the following are ingredients of a pluralistic democracy EXCEPT","group competition for policy benefits.","bargaining and compromise.","majority rule.","multiple access points to policymakers.","separation of powers.","majority rule."
47,"The most fundamental element of democratic theory is","power to the people!","government efficiency.","equality.","majority rule.","access to information.","majority rule."
48,"Representation refers to","majority rule.","all policy views being included in political debate.","the protection of minority rights in a pluralist system.","electing office-holders in fair and free elections.","the correspondence between the few leaders and the many followers in a democracy.","the correspondence between the few leaders and the many followers in a democracy."
49,"Which of the following individuals have suggested that pluralist theory is less descriptive ofAmerican politics than in the past?","Anthony King","Robert Dahl","Alexis de Tocqueville","Robert Putnam","Thomas Jefferson","Robert Putnam"
50,"American government is viewed most positively by the","socialist theory.","pluralist theory.","positivist philosophy.","hyperpluralist theory.","elite and class theory.","pluralist theory."
51,"A system in which many groups make themselves heard and felt somewhere in the policyprocess is","pluralistic.","direct democracy.","hyperpluralistic.","elitist.","bureaucratic.","pluralistic."
52,"The theory that argues that group competition results in a rough approximation of the publicinterest in public policy is","hyperpluralist theory.","balance of power theory.","elite and class theory.","pluralist theory.","bureaucratic theory.","pluralist theory."
53,"Which of the following is NOT a contemporary theory of democracy?","hyperpluralism","class theory","democratic centralism","pluralism","elite theory","democratic centralism"
54,"Robert Putnam's claim that Americans are now   bowling alone   is a criticism of","pluralism.","elite theory.","hyperpluralism.","social network theory.","none of the above","pluralism."
55,"Which of the following is most fundamentally critical of American democracy?","traditional democratic theory","democratic negativism","pluralist theory","critical democratic theory","elite and class theory","elite and class theory"
56,"Many elite and class theorists believe that ________ of Americans control most governmentpolicy decisions.","5 percent","a majority","the vast middle class","1 percent","10 percent","1 percent"
57,"Over a third of America's wealth is owned by","the United States government.","one percent of the population.","a third of the population.","seven percent of the population.","Japanese investors.","one percent of the population."
58,"At the center of all theories of elite domination of politics is","big business.","the Congress.","the nouveau riche.","the Trilateral Commission.","the president.","big business."
59,"Elite and class theory holds that","all societies are divided along class lines and that an upper-class elite will rule.","power is dispersed among many institutions.","in a democracy the majority class must overthrow the government and rule by itself if government is to be freed from the control of the rich.","there is little consensus in policymaking among elites.","politics is the basis of elite power.","all societies are divided along class lines and that an upper-class elite will rule."
60,"The theory that sees wealth as the basis of power is the","democratic theory.","hyperpluralist theory.","Jeffersonian theory.","elite and class theory.","pluralist theory.","elite and class theory."
61,"Hyperpluralists believe that the dominant player in American politics is","groups.","the president.","the government.","the media.","rich individuals.","groups."
62,"In evaluating American democracy, hyperpluralists","claim that competing groups vying for power make for generally efficient, honest government.","claim that society is governed solely by an upper-class elite.","claim that too many influential groups cripple government's ability to govern.","believe that the public interest is nearly always translated into public policy in the United States.","none of the above","claim that too many influential groups cripple government's ability to govern."
63,"According to hyperpluralists, the increasing caseloads of federal and state courts demonstrate","the high status of attorneys in the United States.","the inability to control the bureaucracy in implementing policy.","that groups are more likely to appeal to different institutions in order to gain policy benefits.","the expanding scope of government in the United States.","the increasing complexity of our social networks.","the expanding scope of government in the United States."
64,"The   power of the few   in the United States today is likely to refer to","high-level bureaucrats.","elected officials.","property holders.","technical experts.","a silent majority.","technical experts."
65,"The nature of groups and the government in hyperpluralist theory is","strong government and strong groups.","weak groups and strong government.","weak groups, strong elites, and weak government.","strong groups and weak government.","too few groups result in the creation of many governments.","strong groups and weak government."
66,"Hyperpluralists would argue that","too many influential groups cripple government's ability to govern.","society is divided along class lines.","group competition will result in a rough approximation of the public interest.","wealth is the basis of power.","too few groups lead to a proliferation of governments.","too many influential groups cripple government's ability to govern."
67,"Which of these is NOT considered a challenge to democracy by the textbook?","the diversity of the American people","the level of political participation by Americans","PACs","the specialization of knowledge held by experts","the tendency of the American political system to change rapidly","the tendency of the American political system to change rapidly"
68,"Which of the following would NOT be considered a contemporary challenge to Americandemocracy?","complexity of the issues","the threat of communism","the use of money in politics","political participation rates","diversity","the threat of communism"
69,"Increased technical expertise is a challenge to democracy because","it is difficult to have an informed   non-technical   public debate on technical issues.","it goes against the tenets of pluralist political theory.","it violates the notion of one man, one vote.","elected officials find it hard to understand technical experts.","interest groups have a difficult time securing technical expertise.","it goes against the tenets of pluralist political theory."
70,"PAC stands for","Partisan Assistance Contribution.","Party Affairs Council.","Policy Advisory Commission.","Politically Active Constituency.","Political Action Committee.","Political Action Committee."
71,"People who worry about PACs are most especially concerned about","the decline in American voter turnout.","the close connection between money and politics.","too much democracy being dangerous to social stability.","the role Party Affairs Councils play in elections.","single-issue voters.","the close connection between money and politics."
72,"Escalating campaign costs are a challenge to democracy because","it is believed that PAC contributions affect the way members of Congress vote on single issues.","they are associated with more technical policies.","they lead to policy gridlock.","they reflect diverse interests.","they make it easier for candidates to raise money.","it is believed that PAC contributions affect the way members of Congress vote on single issues."
73,"According to the text, the diversity of political interests in America is resulting in","a decrease in political participation.","policy gridlock.","the breakdown of the educational system.","an increase in political participation.","a cultural renaissance.","policy gridlock."
74,"The ability of groups to prevent the government from taking actions adverse to their interestsleads to what the text calls","Dahl's   ideal democratic process.","elite dominance.","budget deficits.","enlightened understanding.","policy gridlock.","policy gridlock."
75,"The overall set of shared values in a society is known as","individualism.","value added voting.","populism.","political culture.","collectivism.","political culture."
76,"According to G.K. Chesterston, the United States is the only country in the world that isfounded on","heredity.","a creed.","isolationism.","civic virtue.","religious principles.","a creed."
77,"During the American Revolution, Patrick Henry said","We fight for truth, justice, and the American way!","Give me liberty or give me death.","I regret that I have but one life to give for my country.","Our fathers brought forth on this continent, a new nation, conceived in Liberty, and dedicated to the proposition that all men are created equal.","Live free or die.","Give me liberty or give me death."
78,"According to Thomas Jefferson, which of the following is an inalienable right?","Liberty","Taxes","Justice","Jurisprudence","Incontinence","Liberty"
79,"The Declaration of Independence says that   all men are created equal.   Which aspect of theAmerican creed does this suggest?","Individualism","Egalitarianism","Liberty","Capitalism","Populism","Liberty"
80,"One of the primary reasons for the comparatively small scope of American government is","liberalism.","pluralism.","judicial review.","capitalism.","individualism.","individualism."
81,"According to Frederick Jackson Turner, the existence of the frontier in American history mostdirectly resulted in","the abolition of slavery.","a strong preference for limited government.","the environmental movement.","the space program.","the civil rights movement.","a strong preference for limited government."
82,"Populism emphasizes","the people.","the elected officials.","representative democracy.","the meritocracy.","prosperity.","the people."
83,"Those who argue that the United States is in the midst of a culture war argue that Americansare becoming increasingly","isolationist.","secular.","hypocritical.","egalitarian.","polarized.","polarized."
84,"National, state, and local governments in America spend almost ________ of the grossdomestic product.","3 percent","30 percent","all","10 percent","none","30 percent"
85,"The United States government owns ________ of the land in the United States","all","5 percent","one-third","2 percent","none","one-third"
86,"The largest item in the United States government budget, consuming more than one -fifth ofspending, is","Social Security payments.","foreign aid.","education spending.","national defense.","welfare for the poor.","Social Security payments."
87,"The United States national government spends about ________ a year.","$4 billion","$250 billion","$1,000,000,000,000","$500 billion","$2.8 trillion","$2.8 trillion"
88,"Which of the following categories is the largest expenditure in the federal budget?","Social Security","Medicaid","environment","national defense","homeland security","Social Security"
89,"Which of these is TRUE about the United States Constitution?","It centralizes political power.","It is superseded only by decrees of the president.","It sets neutral rules for the game of politics.","All of these are true.","None of these are true.","None of these are true."
90,"In setting the broad rules of the game of politics, constitutions","are never neutral; they give some participants advantages over others.","are fair and impartial.","allow all participants the same political opportunities.","have no effect on the distribution of power in society.","are constantly changing.","are never neutral; they give some participants advantages over others."
91,"By eighteenth-century standards, life was ________ for most people in the United States at thetime of the Revolution.","hell both politically and economically","politically oppressive","ideal","not bad","an economic nightmare","not bad"
92,"The British government stepped up its controls over the American colonies with new taxesand stronger commerce regulations right after","King Phillip's War.","the assassination of the Duke of Windsor.","King George's War.","the Civil War.","the French and Indian War.","the French and Indian War."
92,"The British government stepped up its controls over the American colonies with new taxesand stronger commerce regulations right after","King Phillip's War.","the assassination of the Duke of Windsor.","King George's War.","the Civil War.","the French and Indian War.","the French and Indian War."
94,"The British levied new taxes on its North American colonies in the eighteenth century in orderto pay for","maintaining the elegant lifestyle of the British royalty.","conquest of territories in Africa and Asia.","defending new territories obtained after the French and Indian War.","tax cuts and social welfare programs for residents of the British Isles.","the rising cost of tea.","defending new territories obtained after the French and Indian War."
95,"Who issued the Declaration of Independence?","the Constitutional Convention of 1776","the Continental Congress","President George Washington","the 13 colonial legislatures","General George Washington","the Continental Congress"
95,"Who issued the Declaration of Independence?","the Constitutional Convention of 1776","the Continental Congress","President George Washington","the 13 colonial legislatures","General George Washington","the Continental Congress"
97,"The Declaration of Independence was primarily","a treaty with France for war against Britain.","an original philosophical treatise on politics.","an outline for a new government.","a polemic, announcing and justifying a revolution.","the United States ¹ first constitution.","a polemic, announcing and justifying a revolution."
98,"The primary author of the Declaration of Independence was","Thomas Jefferson.","Benjamin Franklin.","James Madison.","King George III.","George Washington.","Thomas Jefferson."
99,"The Declaration of Independence","contained completely new ideas on political philosophy.","became one of the most important statements of American political philosophy.","took several months to write.","blamed the British parliament for abuses on the colonies.","all of the above","became one of the most important statements of American political philosophy."
100,"The American Revolution was based upon the ideas of","intellectual slaves.","intellectual frontiersmen.","George Washington.","European political thinkers.","American farmers.","European political thinkers."
101,"The foundation of John Locke's philosophy was that human beings","derive their rights from nature.","have rights that are granted them by government.","determine their own rights.","derive their rights from God.","are granted their rights by their King.","derive their rights from nature."
102,"Which of these was NOT among John Locke's key philosophical concepts?","checks and balances","limited government","natural rights","consent of the governed","property rights","checks and balances"
103,"John Locke's ideas on natural rights were related to human law in that","natural rights were less important than human law.","natural rights were considered higher than human law.","human law was the source of natural rights.","human law protected property rights, making human law equal to natural rights.","human law and natural rights were unimportant after revolution.","natural rights were considered higher than human law."
104,"John Locke believed in each of the following EXCEPT","limited government.","consent of the governed.","natural rights.","divine right of kings.","both C and D","divine right of kings."
105,"The Declaration of Independence argued that","nations are indivisible and a people must never secede from their mother nation.","people should revolt when they suffer deep injustices.","the British parliament was to blame for the evils imposed upon the colonists.","people should always work peacefully within the system to redress any grievances they have.","revolution is justifiable whenever people become angry with their government.","people should revolt when they suffer deep injustices."
106,"Reflecting the natural rights philosophy, the Declaration of Independence stated thatgovernments derive their just powers from","God.","the consent of the governed.","tradition.","their elected leaders.","a Constitution.","the consent of the governed."
107,"The justification for separation from England in the Declaration of Independence was basedheavily on the ideas of the English philosopher","Lord North.","Henry VIII.","Oliver Cromwell.","David Hume.","John Locke.","John Locke."
108,"The sole purpose of government, according to John Locke, was to","promote the common good.","prevent anarchy.","educate its people.","protect individuals from violence.","protect natural rights.","protect natural rights."
109,"John Locke believed that the   end of government   was","preservation of property.","majority rule.","equality of man.","pursuit of happiness.","the beginning of life.","preservation of property."
110,"In John Locke's philosophy, the requirements that standing laws be known and privateproperty be preserved","are always threatened by democratic government.","impose two major limits on government.","are unenforceable when government is limited.","must be sacrificed in the interest of democracy.","could only be enforced by a powerful king.","impose two major limits on government."
110,"In John Locke's philosophy, the requirements that standing laws be known and privateproperty be preserved","are always threatened by democratic government.","impose two major limits on government.","are unenforceable when government is limited.","must be sacrificed in the interest of democracy.","could only be enforced by a powerful king.","impose two major limits on government."
112,"Thomas Jefferson's phrase   life, liberty, and the pursuit of happiness   was a modification ofJohn Locke's phrase   Life, liberty, and ________.","property","God","heaven","health","equality","property"
112,"Thomas Jefferson's phrase   life, liberty, and the pursuit of happiness   was a modification ofJohn Locke's phrase   Life, liberty, and ________.","property","God","heaven","health","equality","property"
114,"The primary goal of the American Revolution was","to gain control over the colonies ¹ trade with foreign nations.","to cut taxes.","to win the right to print paper money that could be used to pay off debts.","to restore the colonists ¹ rights as British subjects.","to gain control of the western frontier.","to restore the colonists ¹ rights as British subjects."
115,"The American Revolution was different from the French, Russian, and Iranian revolutions inthat","it was much bloodier.","it was much shorter.","it did not result in a change of government.","it produced little societal change.","It was different in all these ways.","it produced little societal change."
116,"The Articles of Confederation were adopted by","the Continental Congress.","President George Washington.","a small, self-appointed committee of the nation's political leaders.","the British Parliament.","the Continental Army under command of General George Washington.","the Continental Congress."
117,"Beginning in 1781, the United States was governed under the","Articles of Confederation.","Mayflower Compact.","Basic Law of 1781.","British Constitution.","current United States Constitution.","Articles of Confederation."
118,"The primary goal of the American Revolution was to","establish a new political system.","restore rights the colonists felt were already theirs as British subjects.","create a new economic order.","institutionalize new social values based on equality.","establish property rights.","restore rights the colonists felt were already theirs as British subjects."
119,"The American Revolution","did not drastically alter the colonists ¹ way of life.","produced great societal change.","was won quickly and decisively by the superior American troops.","created class conflicts that split society.","was fought between a large army of colonials and a small British army.","did not drastically alter the colonists ¹ way of life."
120,"Under the Articles of Confederation, most power rested with the","the British Parliament.","president.","United States Senate.","state legislatures.","Continental Congress.","state legislatures."
121,"Which of the following is FALSE about the United States government under the Articles ofConfederation?","Each state had only one vote in Congress.","Most authority rested with the United States Congress rather than the state governments.","The Congress had only one house.","There was no president.","All of these are false.","Most authority rested with the United States Congress rather than the state governments."
121,"Which of the following is FALSE about the United States government under the Articles ofConfederation?","Each state had only one vote in Congress.","Most authority rested with the United States Congress rather than the state governments.","The Congress had only one house.","There was no president.","All of these are false.","Most authority rested with the United States Congress rather than the state governments."
123,"After the Revolution, power in the state legislatures shifted","from merchants to lawyers.","from the poor to the wealthy.","from radicals to conservatives.","from the wealthy to those with more moderate incomes.","from the upper to the lower chambers.","from the wealthy to those with more moderate incomes."
124,"The United States government under the Articles of Confederation can best be described as","weak and ineffective.","overly prone to intervention in foreign affairs.","overly bureaucratic.","dictatorial.","a personal tool of George Washington.","weak and ineffective."
125,"Which of the following was NOT a source of revenue for the United States government underthe Articles of Confederation?","taxes levied by the Continental Congress","printing its own money","selling off western lands","state governments","All of the above were revenue sources.","taxes levied by the Continental Congress"
126,"Which of the following was NOT a problem with the national government under the Articlesof Confederation?","the unwillingness of the states to send money requisitioned by the central national government","the lack of an executive to lead the nation","the lack of power given to state legislatures","the inability of the central national government to regulate foreign trade or regulate the national economy","None of these were problems at the time.","the lack of power given to state legislatures"
127,"Under the Articles of Confederation most governmental power rested in","the state governments.","the national government.","the president.","the Congress.","all of the above","the state governments."
128,"After the Revolution, a major power shift occurred in the states from ________ to ________.","the broad middle class; a handful of wealthy individuals","countryside; city","city; countryside","the east coast; the western interior","wealthy individuals; broad middle class","wealthy individuals; broad middle class"
129,"After the American Revolution, state legislatures were composed of","significantly more middle-class representatives and fewer wealthy members compared to before the war.","revolutionary war militiamen.","about the same ratio of wealthy members and not so wealthy members as before the war.","significantly more landless laborers and poor farmers than any other group.","a higher percentage of wealthy planters, lawyers, and merchants than ever before.","significantly more middle-class representatives and fewer wealthy members compared to before the war."
130,"Right after the Revolutionary War, a dramatic change swept through the new countryresulting in","a dramatic increase in democracy and freedom.","a population shift from the cities to the country.","a population shift from country to city.","an explosion in prosperity.","full-scale industrialization.","a dramatic increase in democracy and freedom."
131,"Under the Articles of Confederation, Congress had the power to","levy taxes.","overturn state laws.","regulate commerce.","maintain an army and navy.","all of the above","maintain an army and navy."
132,"Which of the following was NOT occurring in the states during the time of the Articles ofConfederation?","abolishment of religious qualifications for holding office","adoption of bills of rights","upper-class dominance","expanded political participation","all of the above","upper-class dominance"
133,"Under the Articles of Confederation, power in the states began to shift to the hands of","merchants and lawyers.","middle-class farmers and craft workers.","governors.","low-income landowners.","new industrialists.","middle-class farmers and craft workers."
134,"In post-Revolutionary America, state governors were often selected by","judges.","the president.","heredity.","the people directly.","state legislatures.","state legislatures."
135,"At the end of the Revolutionary War,","captured British troops were herded into large prison camps where they served life sentences for their treachery.","a strong, new national government began immediately to keep the economy running smoothly with careful regulation.","a postwar depression severely hurt small farmers and many others.","the condition of the economy was largely the same as it had been before the war.","a period of tremendous economic prosperity began.","a postwar depression severely hurt small farmers and many others."
136,"A small band of farmers in western Massachusetts took up arms in what is remembered as","the Farmers ¹ Revolt.","King George's War.","the Boston Tea Party.","the Whiskey Rebellion.","Shays ¹ Rebellion.","Shays ¹ Rebellion."
137,"After the Revolution, James Madison observed that   the most common and durable source offaction has been","urban and rural divisions.","the various and unequal divisions of property.","aristocracy.","the British army.","racial inequalities.","the various and unequal divisions of property."
138,"At the top of the political agenda during the period of the Articles of Confederation was","economic issues.","social-equality issues.","military issues.","voting rights issues.","slavery.","economic issues."
139,"Among the factors that contributed to economic turmoil under the Articles of Confederationwas the","postwar depression that left many small farmers unable to pay their debts and threatened mortgage foreclosures.","decreasing economic viability of slavery.","power shift from middle-class farmers to wealthy landowners.","state legislatures that favored creditors and created more debt.","All of these factors contributed to the economic turmoil.","postwar depression that left many small farmers unable to pay their debts and threatened mortgage foreclosures."
140,"Shays ¹ Rebellion was","the most decisive battle of the Revolution, after which British troops were never again able to mount a major offensive against American troops.","a slave uprising in Virginia.","an uprising by small merchants demanding credit.","an uprising by Revolutionary War veterans demanding pensions.","an uprising by farmers to prevent judges from foreclosing on farms.","an uprising by farmers to prevent judges from foreclosing on farms."
141,"Which state boycotted the Constitutional Convention?","Texas, because it took too long to get to Philadelphia","Virginia","Rhode Island","No state boycotted.","Both Virginia and Rhode Island boycotted.","Rhode Island"
142,"What was the significance of the Annapolis meeting?","It was the first national convention of women demanding the right to vote.","It issued the Declaration of Independence.","It dissolved the Continental Congress.","It selected George Washington as the first post-Revolutionary president.","It issued the original call for the Constitutional Convention in Philadelphia.","It issued the original call for the Constitutional Convention in Philadelphia."
143,"In Annapolis, Maryland, in 1786, delegates from five states met to discuss","the problems of the national government under the Articles of Confederation.","the need to declare independence from England.","the need for a Bill of Rights.","the issue of slavery.","all of the above","the problems of the national government under the Articles of Confederation."
144,"Those who met at the Constitutional Convention in 1787 were","a mix of wealthy and middle-class Americans.","wealthy planters, lawyers, and merchants.","overwhelmingly middle-class farmers.","primarily British officials overseeing the implementation of the new government agreed to in the peace treaty.","split evenly between Democrats and Republicans.","wealthy planters, lawyers, and merchants."
145,"What was the original, sole, and express purpose of the convention in Philadelphia?","to revise the Articles of Confederation","to choose the first president","to negotiate the peace treaty with Great Britain","to abolish the Articles of Confederation","to grant women the right to vote","to revise the Articles of Confederation"
146,"Which of the following was NOT a characteristic of the 55 delegates who attended theConstitutional Convention?","Most were residents of the western frontiers.","They were all men.","A significant number were urbanites.","Many were college graduates.","They were mostly wealthy planters.","Most were residents of the western frontiers."
147,"The first two weeks of the Constitutional Convention were spent debating","the nature of republican government.","the economic structure of the new government.","the terms of Britain's surrender.","military issues and the need for a standing army.","practical political issues.","the nature of republican government."
147,"The first two weeks of the Constitutional Convention were spent debating","the nature of republican government.","the economic structure of the new government.","the terms of Britain's surrender.","military issues and the need for a standing army.","practical political issues.","the nature of republican government."
149,"According to James Madison and many of the delegates at the Constitutional Convention,what is the primary source of political conflict?","ignorance","stupidity","emotions","religious beliefs","unequal distribution of wealth","unequal distribution of wealth"
150,"Most of the delegates at the Constitutional Convention regarded what as the greatest threat togovernment?","factions","kings","slaves","foreign adversaries","charismatic leaders","factions"
151,"The view of human nature most prevalent among the Founding Fathers was that","men abhor power and the burdens that come with it.","people are self-interested in acquiring wealth and power.","human nature can be perfected, given the right social and political institutions.","people are basically cooperative and community-oriented.","people are disorganized and without vision.","people are self-interested in acquiring wealth and power."
152,"Delegates to the Constitutional Convention generally agreed on each of the following EXCEPT","questions of human nature.","the need for a limited government.","the object and nature of a republican government.","causes of political conflict.","issues of equality.","issues of equality."
153,"The Founding Fathers believed that a major source of political conflict was the","government's attempt to preserve private property.","absence of majority rule.","unequal distribution of property.","religious differences in society.","Indian tribes.","unequal distribution of property."
