ID, question, Option 1, Option 2, Option 3, Option 4, Answer
30,"Economists use the word equity to describe a situation in which","every member of society would have the same income.","benefits of society’s resources are distributed fairly among its members.","society is getting the most it can from its scarce resources.","those in society who have the least will receive the most.","benefits of society’s resources are distributed fairly among its members."
31,"When the government implements such programs as welfare assistance and progressive income tax rates, which of the following is likely to occur?","Equity is increased and efficiency is increased.","Equity is decreased and efficiency is increased.","Equity is increased and efficiency is decreased.","Equity is decreased and efficiency is decreased.","Equity is increased and efficiency is decreased."
32,"Economists use the phrase “There is no such thing as a free lunch,” to illustrate","the concept of inflation.","the concept of tradeoffs.","that people aren’t as generous today as they used to be.","that if something looks too good to be true, it probably is.","the concept of tradeoffs."
33,"Whatever must be given up to obtain an item is the definition of","equity.","an explicit cost.","efficiency.","opportunity cost.","opportunity cost."
34,"When economists refer to people making decisions “at the margin” they mean that people","make decisions only if those decisions do not impose a cost.","evaluate how easily a decision can be reversed if problems arise.","always calculate the dollar costs for each decision.","compare the costs and benefits of each decision.","compare the costs and benefits of each decision."
35,"Which of the following is the best example of a marginal change?","Jayson gets a raise at his part-time job and is now paid $6.75 per hour instead of $6.50.","After graduating college, Megan’s income increases from $500 per month to $3,000 per month.","Due to an increase in the crime rates of a local suburb, housing prices in the area fall by 40%.","A hard freeze wipes out half of the orange crop in Florida and the price of orange juice doubles.","Jayson gets a raise at his part-time job and is now paid $6.75 per hour instead of $6.50."
36,"When economists say that individuals respond to incentives, they mean that","individuals act very quickly when faced with a problem.","individuals respond to positive stimuli, but not to negative stimuli.","if the benefit of an activity increases, people will engage in more of that activity.","once individuals have made a mistake, they will never make the same mistake again.","if the benefit of an activity increases, people will engage in more of that activity."
37,"If Japan decides to trade with Bangladesh, we know that","Bangladesh will be better off, but trading with a less-developed country will not help Japan.","Bangladesh and Japan will both be better off with trade.","it will not benefit Bangladesh because workers in Japan are more productive.","it will not benefit either country because they are too culturally different.","Bangladesh and Japan will both be better off with trade."
38,"Any nation which chooses to engage in trade","will only benefit if it trades with countries that produce goods it cannot produce.","cannot benefit if it trades with less-developed countries.","can benefit by trading with any other country.","should first attempt to produce the good itself.","can benefit by trading with any other country."
39,"In Adam Smith’s book The Wealth of Nations, the “invisible hand” refers to","human kindness.","the free market system.","supernatural beings.","government restrictions.","the free market system."
40,"Profit and self-interest guide the decisions of firms and households in a","command economy.","traditional economy.","market economy.","all of the above","market economy."
41,"When a market, left on its own, fails to allocate resources efficiently, which of the following has occurred?","government interference","economic meltdown","monopoly power","market failure","market failure"
42,"Which of the following would be an example of an externality?","A construction company remodels several run-down, vacant homes in a low-income part of town, improving property values.","Teachers at a local high school have pizza delivered every Friday for lunch.","An elderly couple purchases a hot tub to ease their arthritis.","John buys a tractor to mow his newly purchased 5-acre lot.","A construction company remodels several run-down, vacant homes in a low-income part of town, improving property values."
43,"Market failure can be caused by","market power and supply shocks.","externalities and market power.","government intervention and low consumer demand.","high prices and foreign competition.","externalities and market power."
44,"An example of a firm with market power would be a","video rental store in Dallas.","farmer in Iowa.","gas station in Tallahassee.","cable TV provider in a Kansas City suburb.","cable TV provider in a Kansas City suburb."
45,"The primary determinant of a country’s standard of living is","the ability to reduce foreign competition.","its ability to produce goods and services.","the total supply of money in the economy.","the average age of the country’s labor force.","its ability to produce goods and services."
46,"Suppose that the average income of a Brazilian is higher than the average income of a Canadian. You might conclude that","Canadian firms are faced with stricter government regulations than in Brazil.","total income is divided among fewer workers in Brazil than in Canada since Brazil has a smaller labor force than Canada.","productivity in Brazil is higher than in Canada.","Brazil’s climate allows for longer growing seasons and therefore Brazil can produce large quantities of grain.","productivity in Brazil is higher than in Canada."
47,"If the government wanted to enact a policy to increase living standards in the country, it should","increase educational opportunities for workers.","make it more difficult to receive unemployment benefits.","strictly enforce all workplace safety regulations.","prohibit any union from restricting membership.","increase educational opportunities for workers."
48,"In most cases, the cause of high or persistent inflation is","increased government regulations.","higher worker productivity.","growth in the quantity of money.","an increased demand for domestic production.","growth in the quantity of money."
49,"In the 1920s, the quantity of money in Germany was increased. As a result","unemployment increased.","many people in Germany became rich.","Germany experienced hyperinflation.","Germany was able to repay all its foreign debts.","Germany experienced hyperinflation."
50,"According to the Phillips curve","there is no tradeoff between inflation and unemployment.","if inflation increases, so does unemployment.","increases in unemployment are associated with a rise in prices.","there is a short-run tradeoff between inflation and unemployment.","there is a short-run tradeoff between inflation and unemployment."
51,"The production possibilities frontier is a","map which shows the frontier beyond which agriculture is unprofitable.","map which shows areas of the world in which capitalist production is now possible.","graph that shows the various combinations of output that the economy can possibly produce given the available resources and technology.","graph which shows the various combinations of resources that can be used to produce a given level of output.","graph that shows the various combinations of output that the economy can possibly produce given the available resources and technology."
52,"Which of the following concepts is NOT illustrated by the production possibilities frontier?","efficiency","opportunity cost","equity","tradeoffs","equity"
53,"The opportunity cost of obtaining more of one good is shown on the production possibilities frontier as the","amount of the other good which must be given up.","market price of the additional amount produced.","amount of resources which must be devoted to its production.","number of dollars which must be spent to produce it.","amount of the other good which must be given up."
54,"A production possibilities frontier will be linear and not bowed out if","no tradeoffs exist.","the tradeoff between the two goods is always at a constant rate.","the unemployment rate is zero.","resources are allocated efficiently.","the tradeoff between the two goods is always at a constant rate."
54,"A production possibilities frontier will be linear and not bowed out if","no tradeoffs exist.","the tradeoff between the two goods is always at a constant rate.","the unemployment rate is zero.","resources are allocated efficiently.","the tradeoff between the two goods is always at a constant rate."
56,"Which of the following would be considered a topic of study in microeconomics?","the effect of changes in saving rates on GDP","the impact of minimum-wage laws on employment in the fast-food industry","the impact of monetary policy on the rate of inflation","the effect of tax policy on the rate of economic growth","the impact of minimum-wage laws on employment in the fast-food industry"
57,"Since economists are unable to obtain economic data by conducting experiments, they generally must","do without data.","use whatever data the world gives them.","select a committee of economists to make up data for all economists to use.","ask policymakers to conduct experiments for them.","use whatever data the world gives them."
58,"Models","allow economists to learn how the economy works.","make the economics profession more difficult than necessary.","based on false assumptions cannot be useful to economists.","must include every possible variable in the economy to be useful to economists.","allow economists to learn how the economy works."
59,"When building a model, economists begin by","applying for government funding.","conducting controlled experiments in a lab.","making assumptions.","reviewing statistical forecasts.","making assumptions."
60,"In a simple two-sector circular-flow diagram,","firms are sellers in the resource market and the product market.","households are sellers in the resource market.","firms are buyers in the product market.","households are buyers in both the resource market and the product market.","households are sellers in the resource market."
61,"In a simple two-sector circular-flow diagram,","spending on goods and services flow from firms to households.","goods and services flow from households to firms.","factors of production flow from firms to households.","income from factors of production flows from firms to households.","income from factors of production flows from firms to households."
62,"Which of the following statements about production possibilities frontiers is correct?","An economy can produce only on its production possibilities frontier.","More than one point on a production possibilities frontier can be produced if there is an increase in available resources.","An economy can produce at any point on or inside the production possibilities frontier.","An economy can produce at any point outside the production possibilities frontier","An economy can produce at any point on or inside the production possibilities frontier."
63,"A point that is on a production possibilities frontier represents a combination of two goods that an economy","will never be able to produce.","can produce using all available resources and technology.","can produce using some of its resources and technology.","may be able to produce sometime in the future with additional resources and technology.","can produce using all available resources and technology."
64,"The curved shape of the production possibilities frontier can be explained by","the fact that some resources are better suited for some types of production than are other resources.","constant cost production.","scarcity.","economic growth.","the fact that some resources are better suited for some types of production than are other resources."
65,"Suppose a nation is currently producing at a point inside its production possibilities frontier. We know that","the nation is producing beyond its capacity, and inflation will occur.","the nation is producing inefficiently.","the nation is producing efficiently.","there will be a large opportunity cost if the nation tries to increase production.","the nation is producing inefficiently."
66,"Anytime an economy’s production possibilities frontier shifts outward, we can say that this economy is experiencing","economic growth.","a downturn in the economy.","a more equitable distribution of income within the economy.","an improvement in the allocation of available resources.","economic growth."
67,"Macroeconomics is concerned primarily with the","way things are produced.","prices of particular goods and services.","behavior of consumers.","study of economy-wide phenomena.","study of economy-wide phenomena."
68,"“The government should use any budget surplus to reduce taxes instead of paying down the national debt” is an example of","a positive economic statement.","sound fiscal management.","a normative economic statement.","a welfare statement.","a normative economic statement."
69,"Economists from the Treasury Department provide","the annual Economic Report of the President.","advice on tax policy to the President.","enforcement of the U. S. Antitrust laws.","Congress with the annual budget.","advice on tax policy to the President."
70,"The slope of a straight line is calculated by","rise divided by run.","run divided by rise.","the average of rise and run.","rise plus run.","rise divided by run."
71,"A country’s consumption possibilities frontier can be outside its production possibilities frontier","with trade.","by allocating resources differently.","by lowering unemployment in the country.","by producing a greater variety of goods and services.","with trade."
72,"If labor in Mexico is less productive than labor in the United States in all areas of production,","neither nation can benefit from trade.","Mexico can benefit from trade but the United States cannot.","both nations can benefit from trade.","Mexico will not have a comparative advantage in any good.","both nations can benefit from trade."
72,"If labor in Mexico is less productive than labor in the United States in all areas of production,","neither nation can benefit from trade.","Mexico can benefit from trade but the United States cannot.","both nations can benefit from trade.","Mexico will not have a comparative advantage in any good.","both nations can benefit from trade."
74,"Comparative advantage is based on","capital costs.","labor costs.","dollar price.","opportunity costs.","opportunity costs."
75,"Absolute advantage is found by","comparing opportunity costs.","calculating the dollar cost of production.","first determining which country has a comparative advantage.","comparing the productivity of one nation to that of another.","comparing the productivity of one nation to that of another."
76,"The principle of comparative advantage was developed by","Adam Smith.","Harry Truman.","David Ricardo.","John Maynard Keynes.","David Ricardo."
77,"Economists generally support","government management of trade.","free international trade.","trade restrictions.","export subsidies.","free international trade."
78,"Karl Malone (1997 NBA MVP) is a better basketball player and truck driver than Gregory Mankiw (the author of your economics text). Which of the following is true?","Karl Malone and Gregory Mankiw may benefit from trade.","Karl Malone would be better off playing basketball and driving his own truck.","Karl Malone will probably have a comparative advantage in both goods.","Karl Malone will have a lower opportunity cost of playing basketball and truck driving than will Gregory Mankiw.","Karl Malone and Gregory Mankiw may benefit from trade."
79,"Exports are","a limit placed on the quantity of goods brought into a country.","goods produced domestically and sold abroad.","usually a country’s least desirable product.","goods produced abroad and sold domestically.","goods produced domestically and sold abroad."
80,"The United States could benefit by","promoting imports and restricting exports.","restricting imports and promoting exports.","restricting both imports and exports.","not restricting trade.","not restricting trade."
81,"The gains from trade are","higher from trade between a rich nation and a poor nation.","a result of more efficient resource allocation.","based on different wage rates between nations.","based on the principle of absolute advantage.","a result of more efficient resource allocation."
82,"If a country chooses not to trade, then that country","will be better off.","is outside its own production possibilities frontier.","will have a production possibilities frontier equal to its consumption possibilities frontier.","will be able to produce and consume a greater variety of goods and services.","will have a production possibilities frontier equal to its consumption possibilities frontier."
83,"Which of the following statements about trade is NOT correct?","Trade allows for specialization.","Trade improves a country’s standard of living.","Trade is based on absolute advantage.","Trade is based on which country experiences lower opportunity cost to produce.","Trade is based on absolute advantage."
84,"In one hour Matt can debug one computer program or type ten pages of a report. Matt’s opportunity cost of debugging a computer program is","one page of a report.","ten pages of a report.","1/10 of a page of a report.","one hour of his time.","ten pages of a report."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
85,"If Shawn can produce donuts at a lower opportunity cost than Sue, then","Shawn has a comparative advantage in the production of donuts.","Sue has a comparative advantage in the production of donuts.","Shawn should be retrained to produce a different product.","it is obvious that Shawn is capable of producing more donuts than Sue.","Shawn has a comparative advantage in the production of donuts."
94,"Gains from trade occur when trade is based on","the amount of labor resources the two countries have.","the rate of inflation in the two countries.","absolute advantage.","comparative advantage.","comparative advantage."
95,"Which of the following is true when countries specialize according to their comparative advantage?","It is possible to increase world output of all goods.","It is possible to increase world output of some goods only by reducing the output of others.","One country is likely to gain from trade while others lose.","All countries will lose from trade.","It is possible to increase world output of all goods."
96,"A good that is produced abroad and sold domestically is called","a quota.","a tariff.","an import.","an export.","an import."
97,"A tax placed on imported goods is called","a quota.","a tariff.","an import.","an export.","a tariff."
98,"David Ricardo","believed that barriers to trade, such as tariffs and quotas, were necessary to promote a country’s economic growth.","argued in favor of Britain following a free-trade policy.","was the founder of modern economics.","wrote Why Nations Trade.","argued in favor of Britain following a free-trade policy."
99,"Trade can make everybody better off because it","increases cooperation among nations.","increases labor costs of production.","requires some workers in an economy to be retrained.","allows people to specialize according to comparative advantage.","allows people to specialize according to comparative advantage."
100,"Assume that Hungary has a comparative advantage in wheat and Germany has a comparative advantage in cars. If these two countries specialize and trade according to their comparative advantage","Hungary will specialize in and export wheat.","some individuals in each country will be hurt.","more of each good can be consumed in both countries.","All of the above are correct.","All of the above are correct."
101,"Assume that Hungary has a comparative advantage in wheat and Germany has a comparative advantage in cars. If these two countries specialize and trade according to their comparative advantage","all individuals in both countries will benefit.","Hungary will specialize in and export cars.","Germany will produce more cars than in the absence of trade.","Germany will produce more wheat than in the absence of trade.","Germany will produce more cars than in the absence of trade."
102,"A market is a","place where only buyers come together.","place where only sellers meet.","group of people with common desires.","group of buyers and sellers of a particular good or service.","group of buyers and sellers of a particular good or service."
103,"A monopoly is a market","with one seller.","with few sellers.","with one buyer.","where the government sets the price.","with one seller."
104,"When we are studying the behavior of buyers, we are studying","supply.","demand.","an entire market.","government regulation.","demand."
105,"A demand curve is the","curve that relates income with quantity demanded.","upward-sloping line relating price with quantity supplied.","downward-sloping line relating the price of the good with the quantity demanded.","None of the above answers is correct.","downward-sloping line relating the price of the good with the quantity demanded."
106,"If a good is “normal,” then an increase in income will result in","a lower market price.","a decrease in the demand for the good.","an increase in the demand for the good.","no change in the demand for the good.","an increase in the demand for the good."
107,"If the price of a substitute to good X increases, then the","demand for good X will decrease.","demand for good X will increase.","market price of good X will decrease.","demand for good X will not change.","demand for good X will increase."
108,"What will happen in the rice market if buyers are expecting higher prices in the near future?","The supply of rice will increase.","The demand for rice will decrease.","The demand for rice will increase.","The demand for rice will be unaffected.","The demand for rice will increase."
109,"Ceteris paribus is a Latin phrase that literally means","“after this therefore because of this.”","“other things being equal.”","“to respond slowly to a change in price.”","“There’s no such thing as a free lunch.”","“other things being equal.”"
110,"Which of the following would NOT shift the demand curve for a good or service?","a change in income","a change in the price of a related good","a change in the price of the good or service","a change in expectations about the price of the good or service","a change in the price of the good or service"
111,"If the number of buyers in the market decreases, the","demand in the market will decrease.","supply in the market will increase.","demand in the market will increase.","supply in the market will decrease.","demand in the market will decrease."
112,"When the price of a good or service changes,","supply shifts in the opposite direction.","demand shifts in the opposite direction.","demand shifts in the same direction.","there is a movement along a stable demand curve.","there is a movement along a stable demand curve."
113,"A supply curve slopes upward because","a decrease in input prices decreases supply.","an increase in input prices increases supply.","as more is produced, per-unit costs of production fall.","an increase in price gives producers incentive to supply a larger quantity.","an increase in price gives producers incentive to supply a larger quantity."
114,"A technological advancement will shift the","supply curve to the left.","demand curve to the left.","supply curve to the right.","demand curve to the right.","supply curve to the right."
115,"Suppose there is an increase in input prices. We would expect supply","to increase.","to decrease.","to remain unchanged.","to either increase or decrease.","to decrease."
116,"The unique point at which the supply and demand curves intersect is called","cohesion.","market unity.","equilibrium.","an agreement.","equilibrium."
116,"The unique point at which the supply and demand curves intersect is called","cohesion.","market unity.","equilibrium.","an agreement.","equilibrium."
118,"If there is a shortage of farm laborers, we would expect","the wages of farm laborers to increase.","the wages of farm laborers to decrease.","the prices of farm commodities to decrease.","a decrease in the demand for substitutes of farm labor.","the wages of farm laborers to increase."
119,"At the equilibrium price","sellers would eventually require a higher price.","there will be no pressure on price to rise or fall.","there can still be upward or downward pressure on price.","buyers would not be willing to purchase the output sellers desire to sell.","there will be no pressure on price to rise or fall."
120,"When the price is higher than the equilibrium price,","a shortage will exist.","quantity demanded equals quantity supplied.","buyers desire to purchase more than is produced.","sellers desire to produce and sell more than buyers wish to purchase.","sellers desire to produce and sell more than buyers wish to purchase."
121,"Suppose that demand decreases AND supply decreases. What would you expect to occur in the market for the good?","Both equilibrium price and equilibrium quantity would increase.","Equilibrium price would decrease, but the impact on equilibrium quantity would be ambiguous.","Equilibrium quantity would decrease, but the impact on equilibrium price would be ambiguous.","Equilibrium price would increase, but the impact on equilibrium quantity would be ambiguous.","Equilibrium quantity would decrease, but the impact on equilibrium price would be ambiguous."
122,"Suppose that the incomes of buyers in a particular market for a normal good declines and there is also a reduction in input prices. What would we expect to occur in this market?","Both the equilibrium price and quantity would increase.","Equilibrium price would increase, but the impact on the amount sold in the market would be ambiguous.","Equilibrium price would decrease, but the impact on the amount sold in the market would be ambiguous.","Equilibrium quantity would increase, but the impact on equilibrium price would be ambiguous.","Equilibrium price would decrease, but the impact on the amount sold in the market would be ambiguous."
123,"In a free market system, what is the mechanism for rationing scarce resources?","the government","prices","buyers","sellers","prices"
124,"A competitive market is one in which","there are so many buyers and sellers that each has a negligible impact on price.","each seller attempts to compete so consumers cannot freely interact with sellers.","the government regulates each seller of the product.","there is only one seller of the product.","there are so many buyers and sellers that each has a negligible impact on price."
125,"A monopolistically competitive market is one that consists of","a single seller of the product.","a large number of sellers all offering similar but different products.","many buyers and sellers and an identical product.","a few sellers that do not always compete aggressively.","a large number of sellers all offering similar but different products."
126,"All of the following are determinants of demand EXCEPT","tastes.","income.","technology.","the price of related goods.","technology."
127,"If goods X and Y are complements, an increase in the price of X will result in","less of good Y sold.","more of good Y sold.","more of good X sold.","no difference in the quantity sold of either good.","less of good Y sold."
128,"If Diane receives an increase in her pay, we would expect Diane’s demand for","each good she purchases to remain unchanged.","for inferior goods to increase.","for luxury goods to decrease.","for normal goods to increase.","for normal goods to increase."
129,"A demand curve illustrates the","tradeoff between inflation and unemployment.","positive relationship between price and quantity supplied.","negative relationship between price and quantity demanded.","maximum quantity of two goods an economy is capable of producing with available resources and technology.","negative relationship between price and quantity demanded."
130,"Emily tells you that the price of CDs at the music store will be going down next week. You will probably respond by","decreasing your current demand for CDs.","increasing your current demand for CDs.","not currently changing your demand for CDs.","refusing to ever buy anymore CDs at that store.","decreasing your current demand for CDs."
131,"A market demand curve represents the","average demand of all consumers in the market.","vertical sum of all the individual demands for a particular good or service.","wishes of every supplier of a good or service in a particular market.","horizontal sum of all the individual demands for a particular good or service.","horizontal sum of all the individual demands for a particular good or service."
132,"The willingness and ability to produce and sell a good or service is called","demand.","supply.","equilibrium.","a competitive market.","supply."
133,"According to the law of supply, price and quantity supplied are","directly related.","inversely related.","independent variables.","the same as the relationship between price and quantity demanded.","directly related."
134,"The movement from point A to point B on the graph would be","a decrease in quantity supplied.","a decrease in supply.","an increase in supply.","an increase in quantity supplied.","an increase in quantity supplied."
135,"A change in which of the following will cause a movement along the supply curve?","a change in the state of technology","a change in input prices","a change in the price of the good or service","a change in expectations about future prices","a change in the price of the good or service"
136,"Bauxite is an important input in the production of aluminum. If the price of bauxite decreases, all else equal, we would expect the supply of","aluminum to be unaffected.","aluminum to decrease.","aluminum to increase.","bauxite to increase.","aluminum to increase."
137,"An improvement in the state of technology in production will result in","an increase in equilibrium price and an increase in equilibrium quantity.","a decrease in equilibrium price and a decrease in equilibrium quantity.","an increase in equilibrium price and no change in equilibrium quantity.","a decrease in equilibrium price and an increase in equilibrium quantity.","a decrease in equilibrium price and an increase in equilibrium quantity."
138,"The price where quantity supplied equals quantity demanded is called the","equilibrium price.","monopoly price.","coordinating price.","All of the above are correct.","equilibrium price."
139,"At the equilibrium price,","everyone in the market has been satisfied.","it is possible for there to be a shortage.","firms have an incentive to increase production.","buyers have an incentive to buy more.","everyone in the market has been satisfied."
140,"If a market is currently experiencing a shortage at the current price, then","the market must be in equilibrium.","the price is below the equilibrium price.","quantity demanded equals quantity supplied.","sellers are producing more than buyers wish to buy because the price is too high.","the price is below the equilibrium price."
141,"Suppose oranges are currently selling for $2.00 per pound. The equilibrium price of oranges is $1.56 per pound. We would expect a","shortage to exist and the market price of oranges to increase.","shortage to exist and the market price of oranges to decrease.","surplus to exist and the market price of oranges to increase.","surplus to exist and the market price of oranges to decrease.","surplus to exist and the market price of oranges to decrease."
142,"Suppose that the incomes of buyers in a particular market for a normal good declines and there is also a reduction in input prices. What would we expect to occur in this market?","The equilibrium price would increase, but the impact on the amount sold in the market would be ambiguous.","The equilibrium price would decrease, but the impact on the amount sold in the market would be ambiguous.","Both equilibrium price and equilibrium quantity would increase.","Equilibrium quantity would increase, but the impact on equilibrium price would be ambiguous.","The equilibrium price would decrease, but the impact on the amount sold in the market would be ambiguous."
143,"A stronger demand together with a weaker supply would necessarily result in","a lower price.","a higher price.","an increase in equilibrium quantity.","a decrease in equilibrium quantity.","a higher price."
144,"In a free market system, what coordinates the actions of millions of people with their varying abilities and desires?","producers","consumers","prices","the government","prices"
145,"In general, elasticity is","a measure of the competitive nature of a market.","the friction that develops between buyer and seller in a market.","a measure of how much government intervention is prevalent in a market.","a measure of how much buyers and sellers respond to changes in market conditions.","a measure of how much buyers and sellers respond to changes in market conditions."
