ID, question, Option 1, Option 2, Option 3, Option 4, Answer
46,"Which is an accurate statement about Japan s natural resources?","Japan has extensively used the seas for fishing","large reserves of petroleum are located in the northern part of Japan","Japan has large fertile plains suitable for growing grain","large coal and iron-ore deposits are located in the mountain region","Japan has extensively used the seas for fishing"
47,"In Japan, a major economic problem has been the lack of","natural resources","investment capital","skilled labor","experienced management","natural resources"
48,"Which statement best describes an effect that geography has had on Japan?","Japan s smooth coastline has prevented the development of a fishing industry","Japan s large plains have made wheat growing a primary industry","the lack of important natural resources has led Japan to depend on trade with other nations","the location of Japan has encouraged great ethnic diversity within the nation","the lack of important natural resources has led Japan to depend on trade with other nations"
49,"Both Japan and Indonesia are made up of a chain of islands called","an archipelago","a peninsula","a delta","an atoll","an archipelago"
50,"The term  Latin America  most accurately refers to the","areas of the Western Hemisphere south of the United States","countries that belong to the Organization of American States","continents of North and South America","countries that have close economic ties with Spain","areas of the Western Hemisphere south of the United States"
51,"Which generalization about geography of Latin America is accurate?","geographic features prevented foreign imperialism","harsh climatic conditions have prevented the development of large-scale agriculture","the lack of geographic barriers facilitated the development of transportation and communication systems","great variations in latitude and landforms resulted in a diversity of climates","great variations in latitude and landforms resulted in a diversity of climates"
52,"Which geographic factor has had the most influence on Poland's historical and cultural development?","a severe climate","vast deposits of oil","location on the great European Plain","a rugged coastline","location on the great European Plain"
53,"Which of these nations is located closet to the Philippines, Malaysia, and Indonesia?","Korea","Vietnam","Somalia","Pakistan","Vietnam"
54,"One effect that mountain ranges, rain forests, and river systems have had on Latin America has been to","encourage cultural diffusion","limit the development of transportation and communication systems","permit the nations of the area to use a single form of government","allow the development of large amounts of arable land","limit the development of transportation and communication systems"
55,"In addition to providing water for Indian agriculture, the Ganges River remains important to India because it is","the only source of Indian hydroelectric power","a sacred river for the Hindu population","the birthplace of Hindu culture","an unofficial boundary between the Hindus and Muslims","a sacred river for the Hindu population"
56,"An effect of a mountainous topography on Inca and Chinese civilizations was the development of","industrialization","single-crop economy","desalinization projects","terrace farming","terrace farming"
57,"A major effect of geography on Japan is that the","export of oil has helped Japan maintain a favorable balance of trade","fertile plains have enabled Japan to keep food prices low","mountains have prevented invasions obey foreign nations","scarcity of natural resources has forced Japan to obtain raw materials from other nations","scarcity of natural resources has forced Japan to obtain raw materials from other nations"
58,"Which geographic factor has most strongly influenced Russia s foreign policies and economic development?","lack of natural resources","vast desert regions","limited access to warm-water ports","extensive mountain ranges","limited access to warm-water ports"
59,"Many people in Southeast Asia hope for the timely arrival of the summer monsoons each year because","floods are the only way to water their farmlands","daily temperatures often reach 100 degrees Fahrenheit","little rain has fallen for many months","oases provide water for nomadic herders","little rain has fallen for many months"
60,"A topographical map would most likely be used to","identify the major agricultural products of Egypt","determine the population of Beijing, China","estimate the elevation of Bangkok, Thailand","count the number of provinces in India","estimate the elevation of Bangkok, Thailand"
61,"On a map of the world, Asia is to Japan as Europe is to","Great Britain","the Netherlands","Austria","Italy","Great Britain"
62,"The Russian steppe is most similar in topography to the","mountains in Switzerland","deserts in the Middle East","rainforests in South America","savannas in Africa","savannas in Africa"
63,"Areas of Africa and parts of Siberia in Russia are often said to be gems-in-the-rough because they have","extensive tracts of permanently frozen land","well-developed coastal fishing industries","many undeveloped natural resources","decreasing populations","many undeveloped natural resources"
64,"In Africa, an effect of topography and climate has been to","encourage rapid industrialization of the interior","prevent the development of kingdoms","promote large-scale trade between African and Asia","promote the growth of diverse societies","promote the growth of diverse societies"
65,"The Suez Canal, the Strait of Hormuz, and the Strait of Gibraltar are important because they","prevent attacks on bordering nations","control access to vital trade routes","limit Russian access to warm-water points","prohibit the movement of ships carrying nuclear weapons","control access to vital trade routes"
66,"Geographic diversity in the Middle East has contributed to","unequal standards of living","a common economic system","similar political systems","military alliances with Japan","unequal standards of living"
67,"The Suez Canal, the Panama Canal, and the Straits of the Dardanelles are similar because they","are strategic waterways that have been the center of conflicts","was part of the French colonial empire","are located in regions that are rich in natural resources","prohibit the movement of ships carrying nuclear weapons","are strategic waterways that have been the center of conflicts"
68,"The map shows that the","economies of all the regions of China are developing at the same rate","distribution of income in China is unequal","economies of the interior provinces of China are developing faster than those of the coastal provinces","economic development in China is dependent upon the cash crops of Xinjiang and Tibet","distribution of income in China is unequal"
69,"One factor that accounted for Chinese influence on traditional Japanese culture was the","continuous warfare between the countries","geographic location of the countries","refusal of western nations to trade with Japan","annexation of Japan into the Chinese Empire","geographic location of the countries"
70,"Throughout the 1800 s, Russia was interested in acquiring Turkey mainly because Russia wanted","to maintain peace in the Middle East","access to the Mediterranean Sea","to reestablish the Byzantine Empire","the rich farmland of the Anatolian Plateau","access to the Mediterranean Sea"
71,"Which geographic factor has contributed most to the economic growth of Japan, Egypt, and Great Britain?","variety of natural resources","reliable amount of rainfall","abundance of arable land","access to important waterways","access to important waterways"
72,"In which way have the Andes Mountains and the Amazon rain forest affected the development of Latin America?","promoting international unity","increasing cultural diversity","encouraging trade agreements","strengthening political alliances","increasing cultural diversity"
73,"Which geographic factor has helped China remain isolated for many centuries?","many natural harbors","navigable river systems","severe climate","northern and western mountain ranges","northern and western mountain ranges"
74,"Which statement best describes an impact of topography on eastern Europe?","Many different languages, religions, and customs developed.","A Russian czar ruled the area as a single empire.","An extensive single-crop agricultural system emerged.","Neighbors who were more powerful could not invade the region.","Many different languages, religions, and customs developed."
75,"Which geographic factor was most important to the development of the early river valley civilizations?","fertile soils","high mountains","vast deserts","smooth coastlines","fertile soils"
76,"Which factor contributes most to the recurring food shortages in Africa?","poor distribution of agricultural products","extensive river systems","location between two major oceans","rainforest environment","poor distribution of agricultural products"
77,"Which condition is a major obstacle to economic development in the Middle East and Northern Africa","use of strip mining to obtain minerals","reliance on capitalist economic systems","lack of access to world markets","scarcity of water resources","scarcity of water resources"
78,"Singapore and Hong Kong have become major economic powers by taking advantage of their","abundant mineral resources","imported cheap labor from Japan","profits from agricultural surpluses","favorable location on international trade routes","favorable location on international trade routes"
79,"Throughout the 1800 s, Russia was interested in acquiring Turkey mainly because Russia wanted","to maintain peace in the Middle East","access to the Mediterranean Sea","to reestablish the Byzantine Empire","the rich farmland of the Anatolian Plateau","access to the Mediterranean Sea"
80,"Which conclusion can be drawn from the information in the chart?","Developing countries are instituting programs to limit the growth of their populations.","Infant mortality is a greater problem in Africa than in Asia.","The nations with relatively low birthrates have relatively high per capita incomes.","The national birthrate is determined by many different factors.","The nations with relatively low birthrates have relatively high per capita incomes."
81,"A comparison of Japan s policies before 1945 with the policies in effect after 1945 indicates that","reduction in spending on military goods leads to economic depression","dependence on foreign trade usually leads to a weakened national economy","territorial aggression is not necessary to secure national economic goals","democratic institutions hinder economic growth","territorial aggression is not necessary to secure national economic goals"
82,"A study of Japan s economy since World War II would lead to the conclusion that","a. government support of technological advances can improve a nation s economic position","a. imperialism is necessary form the economic development of a nation","a. a communist system leads to economic prosperity","a. the feudal system is more economically productive than the market system","a. government support of technological advances can improve a nation s economic position"
83,"Which situation has contributed most to recent Japanese economic growth?","The Japanese government has place limits on Japanese exports.","Japanese industries spend very little on the research and development of new products.","The Japanese government and Japanese businesses have cooperated with each other.","Japanese citizens save less of their incomes than the citizens of other industrialized nation do.","The Japanese government and Japanese businesses have cooperated with each other."
84,"The emergence of Japan as a world economic power has been based mostly on Japan s","development of nuclear power","abundance of fossil fuels","strong traditional of military rule","business enterprise and organization","business enterprise and organization"
85,"In recent years, which factor has been a major reason for the economic tensions between the United States and Japan?","Japan s trade deficit with the United States was very high","the United States refused to place quotas on Japanese goods","the United States imported more from Japan than it exported to Japan","Japan lowered tariffs on goods imported from the United States","the United States imported more from Japan than it exported to Japan"
86,"Since World War II, people in both Africa and Latin America have moved from rural to urban areas.  The major cause of this movement has been the","rejection of traditional custom","expectation of improved economic opportunities","guarantee of better housing","fear of civil war","expectation of improved economic opportunities"
87,"Which factor best accounts for the existence of cash-crop production as a major form of agriculture in many Central American nations today?","demand of world markets for such crops","lack of modern agricultural technology","inadequate supply of water and other natural resources","peasant ownership of most farmlands","demand of world markets for such crops"
88,"Economic development in Japan after World War II and in Communist China since the 1980 s is similar in that both nations have sought to","end foreign investment","develop their vast natural resources to achieve economic growth","utilize the concepts of capitalism to improve their economies","nationalize most major industries and restrict competition","nationalize most major industries and restrict competition"
89,"During the 1980 s and 1990 s, the economic policies of China, supported by Deng Xiaoping, have led directly to","an expansion of China s colonial empire","an increase in trade with the West","a return to a strict command economy","the success of the commune system","an increase in trade with the West"
90,"Which statement best explains China s economic shift toward capitalism in the 1980 s and early 1990 s?","China s economic policies were directly influenced by the success of the Soviet economic system","the Tiananmen Square massacre resulted in major economic reforms in China","the success of the Cultural Revolution resulted in the increased westernization of China","communist economic policies were not meeting the needs of the society","communist economic policies were not meeting the needs of the society"
91,"One principle in the theory of mercantilism is that colonies should be","granted independence as soon as possible","considered an economic burden for the colonial power","encouraged to develop their own industries","acquired as markets and sources of raw materials","acquired as markets and sources of raw materials"
92,"Which statement best describes how a command economy functioned in the Soviet Union?","The laws of supply and demand controlled the economy.","Trade policies mandated that imports exceed exports.","The success of the agricultural sector controlled the price of manufactured goods.","A central authority determined the type and quantity of goods to be produced.","A central authority determined the type and quantity of goods to be produced."
93,"To maintain its economic position, Japan has often limited the number of cars or the quantity of farm products that the United States can sell in Japan. Japan has imposed these limits to develop","an equality-of-trade position","a favorable balance of trade","a more open market","a belief system","a favorable balance of trade"
94,"The economic policy of mercantilism first developed during the","Age of Exploration","Enlightenment","Cold War","Green Revolution","Age of Exploration"
95,"Statement A:   The might of a country consists of gaining surpluses of gold and silver.","traditional","feudal","command","mercantile","mercantile"
96,"Which generalization about democracy is most valid?","democratic political systems require a highly industrialized society","democratic governments first evolved in North America","democratic governments prevent their citizens from traveling abroad","democratic governments protect basic civil liberties","democratic governments protect basic civil liberties"
97,"Which factor is necessary for the development of democratic institutions?","strong military forces","respect for individual rights","a one-party system","an agricultural economy","respect for individual rights"
98,"Power tends to corrupt; absolute power corrupts absolutely.","dictatorship","absolute monarchy","totalitarian state","representative democracy","representative democracy"
99,"Democracy in modern Japan resulted primarily from","Shinto and Buddhist beliefs about equality and justice","reforms imposed by the United States after World War II","a history of imperial justice under the constitution of the Emperor","the diffusion of ideas and practices from China and Korea","reforms imposed by the United States after World War II"
100,"After the breakup of the Austro-Hungarian Empire and the Soviet Union, new nations were formed.  Which generalization accurately reflects the effect of the breakup on these new nations?","new nations are generally too poor and weak to become active members of the United Nations","new nations rarely use their limited resources to wage war","national and ethnic differences often lead to instability and violence in new nations","self-determination generally leads to democratic forms of government in new nations","national and ethnic differences often lead to instability and violence in new nations"
101,"Which statement describes a characteristic of the British parliamentary system today?","the Prime Minister is elected by the majority party in Parliament","the monarch serves as a strong head of state","the members of the House of Commons are appointed for life","the minority party has no vote in the Parliament","the Prime Minister is elected by the majority party in Parliament"
102,"Which political system is the basis of Japan s government today?","parliamentary democracy","military dictatorship","absolute monarchy","national socialism","parliamentary democracy"
103,"A constitution? What for? The Koran is the oldest and most efficient constitution in the world.  --King Faisal of Saudi Arabia (1966)","the laws of Islam can be used to govern a country","every country needs elected leaders","Muslims believe in a weak central government","religion should be separated from government","the laws of Islam can be used to govern a country"
104,"Cavour Provokes War Against Austria    Mazzini Establishes Young Italy","nationalism","isolationism","imperialism","totalitarianism","nationalism"
105,"What did Karl Marx and Friedrich Engels believe would be the result when communism finally emerged as the dominant political and economic system?","Only two classes would exist in society.","All the evils of industrial society would disappear.","The Soviet Union would become the world s only superpower.","Citizens would own their individual homes and farms.","All the evils of industrial society would disappear."
106,"A similarity of the rule of the ancient Mongols and the ancient Greeks is that both","protected the human rights of the peoples they controlled","destroyed the civilizations they defeated","remained isolated and peaceful for centuries","established vast empires and spread their cultures to the people they conquered","established vast empires and spread their cultures to the people they conquered"
107,"The code of Hammurabi is an example of","written rules for legal procedures","the power of strong kings to control trade","regulations on the way to conduct wars against neighboring nations","the power of a legislature to veto laws passed by absolute monarchs","written rules for legal procedures"
108,". . . suspending laws . . . , by regal [royal] authority without consent of Parliament is illegal.","limited monarchy","dynastic rule","totalitarian","theocracy","limited monarchy"
109,"The Magna Carta, the Glorious Revolution, and the writings of John Locke all contributed to Great Britain s development of","absolute monarchy","ethnic rivalries","parliamentary democracy","imperialist policies","parliamentary democracy"
110,"In the Soviet Union, Joseph Stalin governed by means of secret police, censorship, and purges.","democracy","totalitarian","limited monarchy","theocracy","totalitarian"
111,"Speaker A:   The gods approached Vishnu, the lord of creatures, and said:  Indicate to us that one person among mortals who alone is worthy of the highest rank . . .  Vishnu reflected, and brought forth a glorious son who became the first king.","A and D","B and C","A and C","B and D","A and D"
112,"Which aspect of a nation s culture is most directly influenced by the physical geography of that nation?","form of government","religious beliefs","population distribution","social class system","population distribution"
113,"One reason the cultures of North Africa developed differently from the cultures of the rest of Africa was that these areas of Africa were separated by the","Congo River Basin","Great Rift Valley","Sahara Desert","Arabian Sea","Sahara Desert"
114,"In China, the development of ethnocentrism was most influenced by","its historic reliance on foreign nations","a long history of democratic government","a strong belief in Christianity","its geographic isolation","its geographic isolation"
115,"In most societies, works of art and architecture generally serve to","satisfy the needs of the leaders","limit the influence of religion","reflect the values of that society","express opposition to the government in power","reflect the values of that society"
116,"In modern African nations, the continued strength of the tribe or ethnic group is a reflection of the continuing influence of","European imperialism","urban growth","the slave trade","traditional cultures","traditional cultures"
117,"Traditional African art has had the greatest influence on","classical Roman mosaics and pottery","Renaissance painting","20th century sculpture and painting","Medieval European architecture","20th century sculpture and painting"
118,"Which generalization is characteristic of most traditional societies?","people move from city to city seeking new jobs","sons learn the same trades as their fathers","a high degree of social mobility exists","all people have the same economic opportunities","sons learn the same trades as their fathers"
119,"Recent archeological studies suggest the theory that","the earliest humans evolved in the Rift Valley in Africa","farming societies developed before hunting and gathering societies","all the continents were settled at about the same time","the wheel was used by all ancient societies","the earliest humans evolved in the Rift Valley in Africa"
120,"Which factor has contributed most to the social and cultural identity of the Middle East?","political stability of the region","ability of the region to export oil","lack of foreign involvement in the region","strong influence of Islam on the region","strong influence of Islam on the region"
121,"The Chinese called their land  Middle Kingdom.   Europeans often used the term  backward  to refer to China.  These statements best illustrate","the failure of geographers to establish a universal terminology","the importance of East Asia in world history","the adoption of policies of nonalignment","attitudes of ethnocentrism in both cultures","attitudes of ethnocentrism in both cultures"
122,"Geographic isolation of a people frequently reinforces","a traditional way of life","the development of scientific investigation","the need for higher education","a process of cultural diffusion","a traditional way of life"
123,"In  most societies, urbanization has","weakened traditional values and life patterns","strengthened the influence of the extended family system","discouraged economic growth","promoted population growth","weakened traditional values and life patterns"
124,"Which statement cites an example of cultural diffusion?","Venezuela has large reserves of oil","young people dance to rock music in Russia","students in China learn calligraphy in school","the Caste system is an important part of life in India","young people dance to rock music in Russia"
125,"In most traditional societies, the teaching of values is mainly the responsibility of the","judicial system","government","educational system","family","family"
126,"The study of culture primarily involves","observing the physical environment of people","learning why various peoples live as they do","understanding the technology of modern machinery","analyzing the personalities of children in the same family","learning why various peoples live as they do"
127,"Extended families and limited social mobility are characteristic of","constitutional monarchies","polytheistic religions","traditional societies","socialist economies","traditional societies"
128,"People in both Japan and India eat very little meat.  A study of these cultures would show that","although these cultures have similar practices, the reasons for these practices differ","the raising of cattle in both nations is very difficult due to the extreme climate","neither culture is concerned with health issues","the governments of both nations enforce strict dietary laws","although these cultures have similar practices, the reasons for these practices differ"
129,"The dominance of the Spanish language in Latin America and continued use of the French language in Senegal are examples of","cultural diffusion","social mobility","humanism","Marxism","cultural diffusion"
130,"Which activity is the best example of cultural diffusion in Africa?","weaving kente cloth in Ghana","using masks in traditional African ceremonies","discovering bronze sculptures from Benin","practicing of Islam in Nigeria","practicing of Islam in Nigeria"
131,"Which statement about India is a fact rather than an opinion?","most Indians are happy with the Hindu practice of arranged marriages","India is fortunate to have a multiparty system of government","The Mongols ruled India for more that 100 years","the partition of British India in 1947 helped India prosper","The Mongols ruled India for more that 100 years"
132,"Which reference would be used to find the most recent information about the gross domestic product (GDP) of a nation?","historical atlas","thesaurus","world almanac","dictionary","world almanac"
133,"Culture is sometimes referred to as  a blueprint for living  because it","flourished best in traditional societies","includes all the things that contribute to a society s development","is determined by genetics","determines the types of jobs offered to the members of a society","includes all the things that contribute to a society s development"
134,"In many African nations, a major result of migration from rural to urban areas has been","a strengthening of traditional values","a decline in employment opportunities for educated Africans","a weakening of ancestral lines and kinship bonds","increased agricultural productivity","a weakening of ancestral lines and kinship bonds"
135,"Which statement about Japan is a fact rather than an opinion?","Japanese family values have declined with modernization","many of Japan s cultural traditions were borrowed from China","rapid industrialization has caused few problems for the Japanese people","traditional farming techniques in Japan were better than modern ones","many of Japan s cultural traditions were borrowed from China"
136,"One similarity between the culture of traditional China under dynastic rule and the culture of modern China under communism is that both stress","a state-supported religion","loyalty to the authority of leaders","the importance of a matriarchal society","limits on population growth","loyalty to the authority of leaders"
137,"The ancient Chinese expression  Middle Kingdom  and the European terms  Near East  and  Far East  best reflect","the impact of the Enlightenment on global thinking","an improved knowledge of world geography","an objective view of the world s cultures","the influence of ethnocentrism on geographic perspective","the influence of ethnocentrism on geographic perspective"
138,"The accusations of witchcraft in 17th century England and the practice of foot-binding in 19th century China are examples of the","discrimination against women in various cultures","negative aspects of a matriarchal society","gradual improvement of women s rights around the world","respect give to mothers in traditional cultures","discrimination against women in various cultures"
139,"Buildings such as the Gothic cathedrals in Western Europe and the Parthenon in ancient Greece reflect each society s","imperialistic attitudes","cultural values","belief in democracy","rigid social structure","cultural values"
140,"Before towns and cities can develop in a society, the society needs to establish","an educational system","an agricultural surplus","a writing system","a democratic government","an agricultural surplus"
141,"Which statement best supports the idea that cultural diffusion has greatly affected Southeast Asia?","the population of Southeast Asia is concentrated in rural areas","monsoon climates affect food production in Indonesia","a reliance on subsistence agriculture remains a problem for many Southeast Asian economies","Buddhism, Hinduism, and Islam are practiced throughout Southeast Asia","Buddhism, Hinduism, and Islam are practiced throughout Southeast Asia"
142,"In India, which aspect of society has been most heavily influenced by religious beliefs, tradition, and the division of labor?","caste system","policy of neutrality","urbanization","parliamentary government","caste system"
143,"One similarity between the cultures of traditional China and traditional Japan was that","the educated class was held in high esteem","religion played a minor role in society","social mobility was encouraged","the people elected the political leaders","the educated class was held in high esteem"
